,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Andrew Wiggins,Kansas,8,583,20446,11277,2570,1360,0.448,0.35,0.725,35.1,19.3,4.4,2.3,23.5,0.055,-1.5,2.5
2,2,MIL,Jabari Parker,Duke,8,310,8535,4380,1703,610,0.494,0.326,0.743,27.5,14.1,5.5,2,13.8,0.078,-0.8,2.5
3,3,PHI,Joel Embiid,Kansas,6,309,9560,7915,3481,1013,0.488,0.335,0.81,30.9,25.6,11.3,3.3,40.6,0.204,5.8,18.7
4,4,ORL,Aaron Gordon,Arizona,8,510,14699,6588,3198,1268,0.457,0.322,0.7,28.8,12.9,6.3,2.5,27.7,0.09,-0.1,7.2
5,5,UTA,Dante Exum,,6,245,4545,1389,441,515,0.407,0.305,0.764,18.6,5.7,1.8,2.1,3.1,0.032,-3.3,-1.5
6,6,BOS,Marcus Smart,Oklahoma State,8,504,14991,5230,1812,2205,0.381,0.32,0.779,29.7,10.4,3.6,4.4,28.4,0.091,-0.2,6.7
7,7,LAL,Julius Randle,Kentucky,8,506,15741,8925,4704,1787,0.475,0.332,0.743,31.1,17.6,9.3,3.5,30.8,0.094,0.3,9.3
8,8,SAC,Nik Stauskas,Michigan,6,337,6686,2283,691,514,0.389,0.354,0.814,19.8,6.8,2.1,1.5,3.9,0.028,-3,-1.7
9,9,CHH,Noah Vonleh,Indiana,7,339,5683,1660,1742,257,0.459,0.308,0.691,16.8,4.9,5.1,0.8,9.2,0.078,-2.4,-0.6
10,10,PHI,Elfrid Payton,Louisiana,8,490,13297,5017,1996,2854,0.448,0.288,0.624,27.1,10.2,4.1,5.8,16,0.058,-0.9,3.8
11,11,DEN,Doug McDermott,Creighton,8,523,10935,4815,1232,492,0.477,0.411,0.82,20.9,9.2,2.4,0.9,19.3,0.085,-1.9,0.4
12,12,ORL,Dario Šarić,,5,356,8965,4180,2086,699,0.441,0.357,0.838,25.2,11.7,5.9,2,16.4,0.088,-0.8,2.6
13,13,MIN,Zach LaVine,UCLA,8,462,14656,9079,1812,1787,0.461,0.387,0.83,31.7,19.7,3.9,3.9,22.3,0.073,0.4,8.8
14,14,PHO,T.J. Warren,NC State,7,332,9553,5142,1372,397,0.507,0.357,0.78,28.8,15.5,4.1,1.2,19.6,0.099,-0.2,4.2
15,15,ATL,Adreian Payne,Michigan State,4,107,1403,429,315,66,0.406,0.254,0.68,13.1,4,2.9,0.6,-0.6,-0.019,-5.9,-1.4
16,16,CHI,Jusuf Nurkić,,8,411,9815,5015,3513,903,0.5,0.232,0.672,23.9,12.2,8.5,2.2,23.9,0.117,0.5,6.2
17,17,BOS,James Young,Kentucky,4,95,812,219,96,28,0.367,0.277,0.563,8.5,2.3,1,0.3,0.8,0.046,-3.4,-0.3
18,18,PHO,Tyler Ennis,Syracuse,4,186,2336,779,250,359,0.419,0.317,0.768,12.6,4.2,1.3,1.9,1.3,0.026,-3.4,-0.8
19,19,CHI,Gary Harris,Michigan State,8,462,13330,5467,1152,959,0.448,0.362,0.811,28.9,11.8,2.5,2.1,20.5,0.074,-1.4,2
20,20,TOR,Bruno Caboclo,,7,105,1293,442,268,72,0.403,0.308,0.836,12.3,4.2,2.6,0.7,1.5,0.054,-2.7,-0.2
21,21,OKC,Mitch McGary,Michigan,2,52,557,227,183,17,0.527,0,0.58,10.7,4.4,3.5,0.3,1.3,0.108,-2.6,-0.1
22,22,MEM,Jordan Adams,UCLA,2,32,263,101,30,19,0.402,0.385,0.607,8.2,3.2,0.9,0.6,0.4,0.07,1.7,0.2
23,23,UTA,Rodney Hood,Duke,8,439,10871,4622,1151,729,0.419,0.364,0.841,24.8,10.5,2.6,1.7,17.2,0.076,-1.2,2.1
24,24,CHH,Shabazz Napier,UConn,6,345,5986,2433,657,849,0.397,0.345,0.815,17.4,7.1,1.9,2.5,8.1,0.065,-0.7,2
25,25,HOU,Clint Capela,,8,451,12084,5605,4797,446,0.623,0,0.528,26.8,12.4,10.6,1,50.3,0.2,2,12.2
26,26,MIA,P.J. Hairston,UNC,2,111,2000,664,266,59,0.343,0.295,0.81,18,6,2.4,0.5,0.9,0.021,-3.9,-1
27,27,PHO,Bogdan Bogdanović,,5,297,8477,4168,1006,1009,0.441,0.386,0.817,28.5,14,3.4,3.4,14.9,0.085,0.3,5
28,28,LAC,C.J. Wilcox,Washington,3,66,376,132,31,30,0.37,0.333,0.813,5.7,2,0.5,0.5,0.1,0.007,-4.3,-0.2
29,29,OKC,Josh Huestis,Stanford,3,76,1068,187,180,23,0.346,0.312,0.24,14.1,2.5,2.4,0.3,0.7,0.03,-3.5,-0.4
