PLAYER,POS,BODY_FAT,HAND_LENGTH_INCHES,HAND_WIDTH_INCHES,HEIGHT_WO_SHOES,HEIGHT_W_SHOES,STANDING_REACH,WEIGHT,WINGSPAN,YEAR
Reggie Bullock,SG-SF,0.07,8.5,9,6' 5.75'',6' 7'',8' 6'',199.8,6' 8.75'',2013
Trey Burke,PG,0.07,8.25,8.75,5' 11.75'',6' 1.25'',8' 1.5'',187,6' 5.5'',2013
Kentavious Caldwell-Pope,SG,0.06,8.5,9,6' 4.5'',6' 5.5'',8' 4.5'',203.6,6' 8'',2013
Isaiah Canaan,PG,0.06,8.25,9.5,5' 11'',6' 0'',7' 10.5'',188.4,6' 4.5'',2013
Jackie Carmichael,PF,0.06,9,10.25,6' 7.5'',6' 9'',8' 11'',241.2,7' 1.5'',2013
Michael Carter-Williams,PG,0.04,7.5,8.5,6' 4.75'',6' 5.75'',8' 5'',184.4,6' 7.25'',2013
Will Clyburn,SF-SG,0.07,9.25,10.25,6' 5.75'',6' 7'',8' 9'',210.4,7' 0.25'',2013
Robert Covington,SF-PF,0.05,9,8.5,6' 6.25'',6' 7.5'',8' 10'',208.6,7' 1.75'',2013
Allen Crabbe,SG,0.05,8.25,8.5,6' 5.25'',6' 6.25'',8' 7.5'',197.4,6' 11.25'',2013
Seth Curry,SG,0.1,8,8.25,6' 1'',6' 3'',8' 1.5'',179.2,6' 4'',2013
Brandon Davies,PF,0.09,9,11,6' 8.5'',6' 10.25'',9' 0.5'',241.8,7' 1.5'',2013
Dewayne Dedmon,C,0.08,9,11,6' 10'',6' 11.5'',9' 1'',238.8,7' 4'',2013
Gorgui Dieng,C,0.05,9,10,6' 9.75'',6' 10.75'',9' 3.5'',229.6,7' 3.5'',2013
James Ennis,SF,0.05,8.5,8.75,6' 5.75'',6' 7'',8' 8.5'',200.8,6' 11.5'',2013
Carrick Felix,SF-SG,0.03,8.5,9.5,6' 4.75'',6' 6.25'',8' 7.5'',202.6,6' 9.25'',2013
Jamaal Franklin,SG-SF,0.08,8.5,8.25,6' 4'',6' 5.25'',8' 7.5'',190.8,6' 11.25'',2013
Rudy Gobert,C,0.04,9.75,10,7' 0.5'',7' 2'',9' 7'',237.6,7' 8.5'',2013
Archie Goodwin,SG,0.05,8.5,9,6' 3.75'',6' 5.25'',8' 6'',189,6' 9.5'',2013
Erick Green,PG,0.04,8.5,9,6' 1.5'',6' 3'',8' 2'',178.2,6' 5.75'',2013
Tim Hardaway Jr.,SG,0.06,8,9.25,6' 4.5'',6' 6.25'',8' 5'',199.4,6' 7'',2013
Solomon Hill,SF,0.08,9,10.5,6' 5.5'',6' 7'',8' 7'',226,6' 9'',2013
Richard Howell,PF,0.09,8.75,9.5,6' 6.25'',6' 7.5'',8' 9.5'',249.6,6' 10.25'',2013
Colton Iverson,C,0.1,9.25,9.5,6' 10.5'',7' 0'',9' 2'',262.8,7' 2'',2013
Pierre Jackson,PG,0.05,7.5,8.25,5' 9.5'',5' 10.5'',7' 6'',176,5' 10'',2013
Grant Jerrett,PF,0.1,8.5,9.25,6' 8.75'',6' 10.25'',9' 1'',232,7' 2'',2013
Myck Kabongo,PG,0.06,8.25,9,6' 1.25'',6' 2.75'',8' 2'',180.4,6' 6.25'',2013
Kenny Kadji,PF-C,0.07,9,10.25,6' 8.75'',6' 10'',8' 10.5'',241.6,7' 3'',2013
Ryan Kelly,PF,0.15,9,10,6' 9.75'',6' 11.75'',9' 2'',228,6' 11.5'',2013
Shane Larkin,PG,0.04,7.5,8.75,5' 10.25'',5' 11.5'',7' 5.5'',170.8,5' 10.75'',2013
Ricky Ledo,SG,0.1,8.5,9.25,6' 4.75'',6' 6'',8' 6.5'',197.2,6' 7.25'',2013
Alex Len,C,0.06,9,10.75,,,,-,7' 3.5'',2013
CJ Leslie,PF-SF,0.08,8.75,9,6' 7.5'',6' 8.75'',8' 8.5'',209.2,7' 2.25'',2013
Trevor Mbakwe,PF,0.06,9.5,11.5,6' 6.75'',6' 8'',8' 10.5'',235.8,7' 4'',2013
