PLAYER,POS,BODY_FAT,HAND_LENGTH_INCHES,HAND_WIDTH_INCHES,HEIGHT_WO_SHOES,HEIGHT_W_SHOES,STANDING_REACH,WEIGHT,WINGSPAN,YEAR
Trey Thompkins,PF,0.16,9.25,9.75,6' 8.5'',6' 9.75'',8' 11.5'',239,7' 1'',2011
Tristan Thompson,PF,0.06,8.75,9.25,6' 7.5'',6' 8.75'',9' 0.5'',227.4,7' 1.25'',2011
Klay Thompson,SG,0.08,8.75,9.25,6' 5.75'',6' 7.25'',8' 7.5'',205.6,6' 9'',2011
Jeremy Tyler,PF-C,0.13,9.25,9,6' 9'',6' 10.5'',9' 2.5'',262.4,7' 5'',2011
Nikola Vucevic,PF-C,0.06,9.25,10.25,6' 10.25'',6' 11.75'',9' 4.5'',259.8,7' 4.5'',2011
Kemba Walker,PG,0.06,8,9,5' 11.5'',6' 1'',7' 7.5'',184,6' 3.5'',2011
Jordan Williams,PF,0.12,9.25,10,6' 7.75'',6' 9'',8' 10.5'',247.2,7' 0.25'',2011
Derrick Williams,PF-SF,0.11,9,9.75,6' 7.25'',6' 8.75'',9' 0'',248.4,7' 1.5'',2011
Solomon Alabi,C,0.05,9.25,9.25,6' 11.5'',7' 0.75'',9' 5'',237.4,7' 5'',2010
Cole Aldrich,C,0.09,9,9.25,6' 9'',6' 11.25'',9' 3.5'',236,7' 4.75'',2010
Al-Farouq Aminu,SF,0.08,9.5,9.5,6' 7.25'',6' 8.5'',9' 0.5'',216,7' 3.25'',2010
James Anderson,SF,0.08,8.5,7.25,6' 4.75'',6' 5.75'',8' 8'',207.6,6' 8.5'',2010
Luke Babbitt,SF-PF,0.06,8.5,10,6' 7.5'',6' 8.75'',8' 8.5'',217.8,6' 11.25'',2010
Eric Bledsoe,PG,0.06,8.5,9.75,6' 0.25'',6' 1.5'',8' 2'',191.6,6' 7.5'',2010
Trevor Booker,PF,0.07,9,9.5,6' 6.25'',6' 7.5'',8' 10'',235.8,6' 9.75'',2010
Craig Brackins,PF-SF,0.08,9.5,11.25,6' 8.5'',6' 9.75'',9' 1'',229,7' 0'',2010
Avery Bradley,SG-PG,0.04,8.25,9.5,6' 2'',6' 3.25'',8' 2.5'',180.4,6' 7.25'',2010
Derrick Caracter,PF,0.13,9,10.25,6' 8.25'',6' 9.5'',8' 11.5'',280,7' 0.25'',2010
Sherron Collins,PG,0.09,8.5,9.5,5' 10.25'',5' 11.75'',7' 10'',217.2,6' 2.5'',2010
DeMarcus Cousins,C,0.16,9.25,10,6' 9.5'',6' 10.75'',9' 5'',291.8,7' 5.75'',2010
Jordan Crawford,SG,0.05,8,9,6' 3'',6' 4.5'',8' 5'',198.4,6' 7'',2010
Ed Davis,PF,0.1,9.25,10,6' 9'',6' 9.75'',9' 0'',226.6,7' 0'',2010
Devin Ebanks,SF,0.08,8.25,9,6' 7'',6' 8.25'',8' 11.5'',207.8,7' 0.25'',2010
Derrick Favors,PF,0.07,8.75,9.25,6' 8.75'',6' 10.25'',9' 2'',245.2,7' 4'',2010
Keith Gallon,PF-C,0.15,9.25,10.5,6' 8.5'',6' 9.5'',9' 1.5'',301.8,7' 4.5'',2010
Charles Garcia,SF,0.07,8.75,9,6' 8.25'',6' 9.25'',8' 11.5'',231.6,7' 1.75'',2010
Paul George,SF,0.05,8.5,9,6' 7.75'',6' 8.75'',8' 11'',214.4,6' 11.25'',2010
Luke Harangody,PF,0.11,8.75,9.75,6' 6'',6' 7.75'',8' 10'',240.2,6' 9.5'',2010
Manny Harris,SG,0.04,8.5,9,6' 4'',6' 5.5'',8' 6'',185.1,6' 7.25'',2010
Lazar Hayward,SG-SF,0.08,9.25,9.5,6' 4.5'',6' 5.75'',8' 6'',225.8,7' 0.75'',2010
Gordon Hayward,SF,0.07,8.5,9.25,6' 6.75'',6' 8'',8' 7'',211,6' 7.75'',2010
Xavier Henry,SG,0.05,8.75,10,6' 5.25'',6' 6.5'',8' 9'',210.2,6' 11.25'',2010
Darington Hobson,SG-SF,0.06,8.25,9,6' 5.25'',6' 6.5'',8' 8.5'',203.6,6' 9.25'',2010
Damion James,SF,0.1,9.25,8.5,6' 6.25'',6' 7.75'',8' 11'',226.6,7' 0.75'',2010
Wesley Johnson,SF,0.05,9,9.5,6' 6.25'',6' 7.25'',8' 10'',206.4,7' 1'',2010
Armon Johnson,PG-SG,0.06,8.25,9.25,6' 2'',6' 3.25'',8' 3.5'',195.2,6' 8'',2010
Dominique Jones,SG,0.06,9,10.25,6' 3.25'',6' 5'',8' 5'',216,6' 9.25'',2010
Jerome Jordan,C,0.07,9,10.25,6' 11.5'',7' 0.75'',9' 5'',244.2,7' 5.25'',2010
Sylven Landesberg,SG,0.12,8.75,10.75,6' 4.75'',6' 6.25'',8' 4.5'',210,6' 9'',2010
Gani Lawal,PF,0.06,8.5,10,6' 7.5'',6' 9'',8' 11.5'',233.4,7' 0'',2010
Greg Monroe,PF-C,0.11,8.75,9.5,6' 9.75'',6' 11'',9' 0.5'',246.6,7' 2.25'',2010
Daniel Orton,C,0.14,8.5,9.75,6' 8.75'',6' 9.5'',9' 2.5'',269.2,7' 4.25'',2010
Artsiom Parakhouski,C,0.06,9,10.5,6' 10.25'',6' 11.75'',9' 1.5'',268.2,7' 1'',2010
Patrick Patterson,PF,0.05,9.25,10.25,6' 8'',6' 9.25'',8' 11'',239.6,7' 1.25'',2010
Dexter Pittman,PF-C,0.21,10.25,10.5,6' 9.5'',6' 11.5'',9' 3'',302.6,7' 6'',2010
Andy Rautins,SG,0.06,8,9.75,6' 4.25'',6' 5'',8' 4'',191.6,6' 7'',2010
Ryan Richards,PF,0.08,9,9.75,6' 10.5'',6' 11.75'',9' 2'',230.2,7' 1.5'',2010
Stanley Robinson,SF,0.08,9,9,6' 6.5'',6' 7.75'',8' 11.5'',213.2,7' 0'',2010
Larry Sanders,PF-C,0.05,9.75,11,6' 9.25'',6' 10.5'',9' 4'',222.4,7' 5.75'',2010
Jon Scheyer,PG-SG,0.05,7.75,9.5,6' 4.75'',6' 6'',8' 3'',180,6' 3.25'',2010
Lance Stephenson,SG,0.09,9,10.25,6' 4.5'',6' 5.75'',8' 7'',227,6' 10.5'',2010
Mikhail Torrance,PG,0.07,8.75,9.5,6' 4'',6' 5'',8' 7'',208.8,6' 7.5'',2010
Evan Turner,SG,0.09,8.75,9.5,6' 5.75'',6' 7'',8' 7.5'',213.8,6' 8'',2010
Ekpe Udoh,PF,0.08,9.5,8.75,6' 8.75'',6' 9.75'',8' 10.5'',237.4,7' 4.5'',2010
Jarvis Varnado,PF-C,0.1,9.25,9.5,6' 8.25'',6' 10'',9' 1.5'',210.2,7' 3.5'',2010
Greivis Vasquez,PG-SG,0.09,7.75,9.25,6' 5'',6' 6.5'',8' 5'',210.8,6' 7'',2010
John Wall,PG,0.06,8.25,9.5,6' 2.75'',6' 4'',8' 5.5'',195.6,6' 9.25'',2010
Willie Warren,SG-PG,0.08,8.5,9.5,6' 2.5'',6' 3.75'',8' 3.5'',208.4,6' 6'',2010
Terrico White,SG-PG,0.04,9,10.5,6' 3.75'',6' 5'',8' 5'',202.6,6' 9'',2010
Hassan Whiteside,C-PF,0.06,8.25,10.25,6' 10.5'',6' 11.5'',9' 5'',226.6,7' 7'',2010
Jeff Adrien,PF,0.08,-,-,6' 5.25'',6' 6.5'',8' 11.5'',236.2,7' 2'',2009
Jeff Ayres,PF,0.06,-,-,6' 8.75'',6' 10'',8' 11'',239.6,7' 1'',2009
Rodrigue Beaubois,PG,0.08,-,-,6' 1.25'',6' 2.25'',8' 4'',182.4,6' 9.75'',2009
DeJuan Blair,PF,0.12,-,-,6' 5.25'',6' 6.5'',8' 10.5'',276.6,7' 2'',2009
Derrick Brown,SF-PF,0.09,-,-,6' 7.5'',6' 8.5'',8' 11.5'',224.6,7' 2.5'',2009
Chase Budinger,SF-SG,0.1,-,-,6' 6.25'',6' 7'',8' 5'',206.4,6' 7'',2009
DeMarre Carroll,PF-SF,0.06,-,-,6' 6.25'',6' 7.75'',8' 9'',207.2,6' 10'',2009
Omri Casspi,SF,0.09,-,-,6' 7.75'',6' 9.25'',8' 10.5'',211.2,6' 9.25'',2009
Dionte Christmas,SG,0.07,-,-,6' 4.25'',6' 5.5'',8' 6.5'',210.8,6' 9'',2009
Earl Clark,SF-PF,0.05,-,-,6' 8.5'',6' 10.25'',9' 1.5'',228.4,7' 2.5'',2009
Darren Collison,PG,0.06,-,-,6' 0.25'',6' 1.5'',8' 0.5'',166.2,6' 3'',2009
Dante Cunningham,PF,0.05,-,-,6' 7'',6' 8.25'',8' 10.5'',227.4,6' 11'',2009
Stephen Curry,PG-SG,0.06,-,-,6' 2'',6' 3.25'',8' 1'',181,6' 3.5'',2009
Austin Daye,SF-PF,0.06,-,-,6' 9.75'',6' 10.75'',9' 2'',191.8,7' 2.75'',2009
DeMar DeRozan,SG-SF,0.05,-,-,6' 5.5'',6' 6.5'',8' 6.5'',211.2,6' 9'',2009
Toney Douglas,PG,0.05,-,-,6' 1'',6' 2'',8' 1.5'',183.4,6' 6'',2009
Wayne Ellington,SG,0.06,-,-,6' 4.25'',6' 5.25'',8' 4'',202.4,6' 6.5'',2009
Tyreke Evans,PG-SG,0.07,-,-,6' 4'',6' 5.25'',8' 8'',220.6,6' 11.25'',2009
Jonny Flynn,PG,0.06,-,-,5' 11.25'',6' 0.75'',7' 11.5'',195.6,6' 4'',2009
Taj Gibson,PF,0.07,-,-,6' 8.5'',6' 9.75'',9' 1'',214.4,7' 4'',2009
Danny Green,SG-SF,0.06,-,-,6' 5.25'',6' 6.5'',8' 7'',208,6' 10'',2009
Blake Griffin,PF,0.08,-,-,6' 8.5'',6' 10'',8' 9'',248.4,6' 11.25'',2009
Tyler Hansbrough,PF,0.09,-,-,6' 8.25'',6' 9.5'',8' 10'',234.2,6' 11.5'',2009
James Harden,SG,0.1,-,-,6' 4'',6' 5.25'',8' 7.5'',222,6' 10.75'',2009
Gerald Henderson,SG-SF,0.04,-,-,6' 4'',6' 5'',8' 6.5'',214.6,6' 10.25'',2009
Josh Heytvelt,PF-C,0.11,-,-,6' 10'',6' 11'',9' 0'',246.2,7' 1.25'',2009
Jordan Hill,PF-C,0.06,-,-,6' 9.25'',6' 10.25'',9' 0'',232.4,7' 1.5'',2009
Jrue Holiday,PG-SG,0.06,-,-,6' 3.25'',6' 4.25'',8' 4.5'',199,6' 7'',2009
Joe Ingles,SF,0.1,-,-,6' 7.75'',6' 8.25'',8' 9'',209.2,6' 10.25'',2009
James Johnson,SF-PF,0.12,-,-,6' 7'',6' 7.75'',8' 9.5'',257.2,7' 0.75'',2009
Ty Lawson,PG,0.07,-,-,5' 11.25'',6' 0.5'',7' 10.5'',196.6,6' 0.75'',2009
Eric Maynor,PG,0.05,-,-,6' 2.25'',6' 3.25'',8' 1'',163.6,6' 2.5'',2009
Jack McClinton,SG-PG,0.06,-,-,5' 11.75'',6' 0.75'',8' 0'',185.2,6' 2.5'',2009
Jerel McNeal,SG,0.05,-,-,6' 1.5'',6' 3'',8' 3.5'',190.4,6' 7.25'',2009
Jodie Meeks,SG,0.08,-,-,6' 3'',6' 4'',8' 2'',211.4,6' 4.5'',2009
Patty Mills,PG,0.07,-,-,5' 11.25'',6' 0.5'',7' 11'',175.4,6' 2'',2009
Byron Mullens,C,0.09,-,-,6' 11.75'',7' 1.25'',9' 3'',258.2,7' 1.5'',2009
A.J. Price,PG,0.12,-,-,6' 0.5'',6' 2'',8' 1'',192.8,6' 3.75'',2009
Tyler Smith,SF,0.07,-,-,6' 5.25'',6' 6'',8' 8.5'',212,6' 9.75'',2009
DaJuan Summers,SF,0.07,-,-,6' 7.25'',6' 8.5'',8' 10.5'',243,7' 0.75'',2009
Jermaine Taylor,SG,0.06,-,-,6' 3.5'',6' 4.75'',8' 5'',207.4,6' 8.75'',2009
Jeff Teague,PG,0.05,-,-,6' 0.25'',6' 1.5'',8' 2.5'',175.2,6' 7.5'',2009
Hasheem Thabeet,C,0.07,-,-,7' 1.25'',7' 2.5'',9' 5'',267.2,7' 6.25'',2009
Marcus Thornton,SG,0.05,-,-,6' 2.75'',6' 3.75'',8' 3'',194.4,6' 5'',2009
Terrence Williams,SG-SF,0.05,-,-,6' 5'',6' 6.25'',8' 7.5'',213.2,6' 9'',2009
Sam Young,SF-SG,0.05,-,-,6' 5.25'',6' 6.75'',8' 9.5'',222.8,6' 10.75'',2009
Joe Alexander,SF-PF,0.06,-,-,6' 7.25'',6' 8.25'',8' 10'',220,6' 11.5'',2008
Darrell Arthur,PF,0.07,-,-,6' 7.5'',6' 8.5'',8' 11'',216,6' 10.75'',2008
D.J. Augustin,PG,0.08,-,-,5' 10'',5' 11.5'',7' 10.5'',171.5,6' 3.5'',2008
Jerryd Bayless,PG-SG,0.05,-,-,6' 1.75'',6' 3'',8' 1'',204,6' 3.5'',2008
Michael Beasley,PF-SF,0.08,-,-,6' 7'',6' 8.25'',8' 11'',239,7' 0.25'',2008
Ramel Bradley,PG-SG,0.06,-,-,6' 1.25'',6' 2.25'',8' 2'',184,6' 5'',2008
Tyrone Brazelton,PG,0.08,-,-,5' 10'',5' 11'',7' 10'',166,6' 1.75'',2008
Takais Brown,PF,0.09,-,-,6' 7.25'',6' 8.5'',8' 10'',252,6' 10'',2008
Keith Brumbaugh,SF-PF,0.04,-,-,6' 7.5'',6' 8.75'',8' 8.5'',190,6' 7.25'',2008
Stanley Burrell,PG,0.06,-,-,6' 1.5'',6' 2.5'',8' 1.5'',201,6' 6.25'',2008
Brian Butch,C-PF,0.11,-,-,6' 9.5'',6' 11'',9' 0'',229.6,6' 11.25'',2008
Jamar Butler,PG,0.06,-,-,6' 0.25'',6' 1.5'',8' 1'',182,6' 4.75'',2008
Pat Calathes,SF-PF,0.07,-,-,6' 8.75'',6' 9.75'',8' 10'',204,6' 9.75'',2008
Joe Crawford,SG,0.08,-,-,6' 3'',6' 4'',8' 3.5'',213,6' 5.75'',2008
Chris Daniels,C-PF,0.16,-,-,6' 8.25'',6' 9.5'',9' 1'',256,7' 0.5'',2008
Joey Dorsey,PF-C,0.09,-,-,6' 6.25'',6' 7.25'',8' 11'',265,7' 1.75'',2008
Marcus Dove,SF-PF,0.05,-,-,6' 6.75'',6' 7.5'',8' 9'',208,6' 11.5'',2008
Josh Duncan,PF,0.05,-,-,6' 8'',6' 9'',8' 8.5'',230,6' 11.5'',2008
Frank Elegar,PF,0.05,-,-,6' 7.25'',6' 8.75'',8' 10'',210,7' 3.25'',2008
Patrick Ewing Jr.,SF-PF,0.09,-,-,6' 6'',6' 7.25'',8' 1.5'',224,7' 0.25'',2008
Gary Forbes,SG,0.07,-,-,6' 4.5'',6' 5.75'',8' 8.5'',220.5,6' 11.25'',2008
Shan Foster,SG,0.06,-,-,6' 4'',6' 5.25'',8' 7.5'',194.5,6' 11.5'',2008
J.R. Giddens,SG,0.05,-,-,6' 4'',6' 4.75'',8' 7'',208,6' 11.25'',2008
James Gist,PF,0.05,-,-,6' 7'',6' 8.5'',8' 11.5'',220,7' 4'',2008
Vladimir Golubovic,C,0.07,-,-,6' 11.25'',7' 0.25'',9' 3.5'',258,7' 2.5'',2008
Eric Gordon,SG,0.08,-,-,6' 2'',6' 3.25'',8' 3'',222,6' 9'',2008
Kentrell Gransberry,C,0.17,-,-,6' 6.75'',6' 7.75'',8' 10'',290,6' 10.25'',2008
Donte Greene,SF-PF,0.08,-,-,6' 8.25'',6' 9'',9' 0'',221,6' 10'',2008
Malik Hairston,SG,0.07,-,-,6' 4.25'',6' 5.25'',8' 7.5'',204,6' 9'',2008
DeVon Hardin,C-PF,0.06,-,-,6' 9.5'',6' 10.75'',9' 1.5'',235,7' 3'',2008
Richard Hendrix,PF,0.09,-,-,6' 6.75'',6' 8.75'',9' 0'',250,7' 3'',2008
George Hill,PG,0.03,-,-,6' 1.25'',6' 2.5'',8' 1.5'',181,6' 9'',2008
Kyle Hines,SF-PF,0.04,-,-,6' 3.75'',6' 5.25'',8' 8.5'',234,7' 1.25'',2008
Jiri Hubalek,C-PF,0.09,-,-,6' 9.5'',6' 11'',9' 1'',226,6' 10.75'',2008
Lester Hudson,PG,0.03,-,-,5' 11.75'',6' 1'',8' 2.5'',196,6' 8.75'',2008
Othello Hunter,PF-SF,0.06,-,-,6' 6.5'',6' 7.5'',9' 1.5'',220,7' 3'',2008
Darnell Jackson,PF,0.13,-,-,6' 7'',6' 7.75'',8' 10.5'',240.5,6' 11.25'',2008
Shawn James,PF,0.09,-,-,6' 7.75'',6' 9'',9' 3'',217,7' 5'',2008
Davon Jefferson,SF,0.12,-,-,6' 5.25'',6' 6.5'',8' 9'',213,6' 9.5'',2008
Joseph Jones,PF,0.12,-,-,6' 7'',6' 8.5'',8' 11'',240,7' 0.25'',2008
DeAndre Jordan,C,0.08,-,-,6' 9.75'',6' 11'',9' 5.5'',250,7' 6'',2008
Sasha Kaun,C-PF,0.1,-,-,6' 9'',6' 10.75'',9' 2'',247,7' 4'',2008
Marcelus Kemp,SG,0.09,-,-,6' 3'',6' 4.25'',8' 7.5'',221,6' 8.5'',2008
Maarty Leunen,SF,0.09,-,-,6' 7.25'',6' 8.5'',8' 6.5'',222,6' 8'',2008
Longar Longar,C,0.11,-,-,6' 9'',6' 10'',9' 1.5'',212.5,7' 1.25'',2008
Brook Lopez,C,0.06,-,-,6' 11.25'',7' 0.5'',9' 5'',258,7' 5.5'',2008
Kevin Love,PF,0.13,-,-,6' 7.75'',6' 9.5'',8' 10'',255,6' 11.25'',2008
Aleks Maric,C,0.1,-,-,6' 9.75'',6' 10.75'',9' 1.5'',273,7' 1'',2008
O.J. Mayo,SG-PG,0.06,-,-,6' 3.25'',6' 4.25'',8' 3.5'',200,6' 6'',2008
James Mays,PF,0.09,-,-,6' 6.75'',6' 7.75'',8' 9'',227,7' 1.75'',2008
Luc Mbah a Moute,SF,0.07,-,-,6' 5.75'',6' 7.5'',8' 7.5'',221,7' 2.5'',2008
JaVale McGee,C-PF,0.05,-,-,6' 11'',7' 0'',9' 6.5'',241,7' 6'',2008
Drew Neitzel,PG,0.06,-,-,5' 11.75'',6' 0.75'',7' 11'',175.5,6' 2.5'',2008
DeMarcus Nelson,PG-SG,0.05,-,-,6' 1'',6' 2.25'',8' 2.5'',198,6' 10'',2008
David Padgett,C-PF,0.09,-,-,6' 10.25'',6' 11.5'',9' 1.5'',239.5,7' 1'',2008
Jeremy Pargo,PG,0.08,-,-,6' 0.5'',6' 1.5'',8' 0'',208,6' 5'',2008
Trent Plaisted,PF,0.11,-,-,6' 9.25'',6' 10.25'',8' 9.5'',240,6' 10.5'',2008
Quan Prowell,SF-PF,0.07,-,-,6' 6.75'',6' 7.75'',8' 7.5'',225.5,6' 10.5'',2008
Shaun Pruitt,C-PF,0.14,-,-,6' 8.25'',6' 9'',8' 11.5'',242.2,7' 1'',2008
Anthony Randolph,PF-SF,0.05,-,-,6' 9'',6' 10.25'',9' 1'',197,7' 3'',2008
Charles Rhodes,PF,0.11,-,-,6' 7.25'',6' 8.25'',8' 11.5'',244,6' 11.25'',2008
John Riek,C,0.11,-,-,6' 10.5'',7' 0'',,237,7' 8.75'',2008
Brian Roberts,PG,0.04,-,-,6' 0.25'',6' 1.25'',7' 11'',173,6' 1.25'',2008
Russell Robinson,PG,0.07,-,-,6' 0.5'',6' 1.5'',8' 4.5'',196,6' 8'',2008
Richard Roby,SG-SF,0.09,-,-,6' 4.25'',6' 5.5'',8' 8'',203,6' 9.75'',2008
Derrick Rose,PG,0.05,-,-,6' 1.5'',6' 2.5'',8' 2.5'',196,6' 8'',2008
Sean Singletary,PG,0.04,-,-,5' 11'',6' 0'',7' 11'',183.8,6' 4.5'',2008
Ronald Steele,PG,0.08,-,-,6' 0.25'',6' 1.5'',8' 1.5'',183.5,6' 4.25'',2008
Mike Taylor,SG-PG,0.04,-,-,6' 0.75'',6' 2'',8' 2'',166.2,6' 7.25'',2008
Bryce Taylor,SG,0.08,-,-,6' 2.75'',6' 4.25'',8' 3.5'',210,6' 9'',2008
Mark Tyndale,SG-SF,0.07,-,-,6' 2.75'',6' 3.5'',8' 7.5'',217,6' 11'',2008
Robert Vaden,SG,0.06,-,-,6' 3.5'',6' 4.5'',8' 5'',199,6' 8'',2008
Deron Washington,SF,0.07,-,-,6' 5.25'',6' 6.25'',8' 6.5'',198.5,6' 9'',2008
Sonny Weems,SG-SF,0.04,-,-,6' 4'',6' 5.5'',8' 8'',193,6' 10'',2008
Russell Westbrook,PG,0.05,-,-,6' 2.25'',6' 3.5'',8' 4'',192,6' 7.75'',2008
Reggie Williams,SG,0.05,-,-,6' 3.25'',6' 4'',8' 7'',199,6' 9.25',2008
Mohamed Abukar,SF,0.09,-,-,6' 8'',6' 9.75'',8' 7'',210,6' 9'',2007
Mario Boggan,PF,0.09,-,-,6' 5'',6' 7'',8' 11'',240,7' 2'',2007
Craig Bradshaw,PF,0.12,-,-,6' 8'',6' 9.75'',8' 10.5'',240,7' 1.5'',2007
Corey Brewer,SF-SG,0.04,-,-,6' 6'',6' 7.75'',8' 7'',185,6' 8.25'',2007
Aaron Brooks,PG,0.03,-,-,5' 10'',5' 11.75'',7' 10'',161,6' 4'',2007
Bobby Brown,PG,0.07,-,-,5' 11'',6' 1.75'',7' 11.5'',170,6' 4'',2007
Russell Carter,SG,0.06,-,-,6' 3'',6' 4.5'',8' 1.5'',221,6' 8.5'',2007
Coleman Collins,PF,0.06,-,-,6' 8'',6' 9.75'',8' 11'',236,7' 2'',2007
Mike Conley,PG,0.04,-,-,5' 11'',6' 0.75'',7' 10.5'',175,6' 5.75'',2007
Daequan Cook,SG,0.07,-,-,6' 3'',6' 5.75'',8' 5.5'',203,6' 8.25'',2007
Ryvon Covile,C-PF,0.08,-,-,6' 7'',6' 8.5'',8' 11.5'',250,7' 1.25'',2007
Javaris Crittenton,PG,0.05,-,-,6' 3'',6' 4.75'',8' 2'',194,6' 5.5'',2007
Jermareo Davidson,PF,0.07,-,-,6' 9'',6' 11'',9' 1.5'',230,7' 4'',2007
Justin Doellman,PF,0.07,-,-,6' 8'',6' 9.5'',8' 9'',205,6' 8.75'',2007
Zabian Dowdell,PG,0.05,-,-,6' 1'',6' 3'',8' 4'',191,6' 10'',2007
Jared Dudley,SF,0.07,-,-,6' 5'',6' 7.25'',8' 6'',219,6' 7'',2007
Kevin Durant,SF-PF,0.07,-,-,6' 9'',6' 10.25'',9' 2'',215,7' 4.75'',2007
Rashaun Freeman,PF,0.12,-,-,6' 6'',6' 8'',8' 8'',244,6' 11.5'',2007
Aaron Gray,C,0.11,-,-,7' 0'',7' 1.75'',9' 0.5'',271,7' 3.25'',2007
Caleb Green,PF,0.11,-,-,6' 6'',6' 8'',8' 7'',238,6' 11.75'',2007
Jeff Green,SF,0.04,-,-,6' 7'',6' 9.5'',8' 7'',228,7' 1.25'',2007
Taurean Green,PG,0.05,-,-,5' 11'',6' 0.75'',8' 0'',173,6' 2.25'',2007
Spencer Hawes,PF,0.13,-,-,6' 10'',7' 0.75'',9' 2'',244,7' 0.5'',2007
Brandon Heath,PG,0.09,-,-,6' 2'',6' 3.75'',7' 10'',181,6' 7'',2007
Herbert Hill,C,0.06,-,-,6' 7'',6' 9.75'',9' 0.5'',232,7' 2.25'',2007
Al Horford,PF,0.09,-,-,6' 8'',6' 9.75'',8' 11'',246,7' 0.75'',2007
Quinton Hosley,SF-SG,0.06,-,-,6' 5'',6' 7.75'',8' 9'',215,6' 11.25'',2007
James Hughes,C,0.04,-,-,6' 9'',6' 10.75'',9' 3'',209,7' 3'',2007
Jeremy Hunt,SG,0.05,-,-,6' 2'',6' 4.75'',8' 5.5'',198,6' 8.25'',2007
Ekene Ibekwe,PF,0.03,-,-,6' 8'',6' 9'',8' 8'',208,7' 6'',2007
Dominic James,PG,0.05,-,-,5' 10'',5' 11.75'',7' 9'',175,6' 2'',2007
Trey Johnson,SG,0.05,-,-,6' 3'',6' 5.75'',8' 2'',216,6' 5'',2007
Rashad Jones-Jennings,PF,0.06,-,-,6' 6'',6' 7.5'',8' 9.5'',235,7' 0'',2007
Jared Jordan,PG,0.07,-,-,6' 0'',6' 1.75'',7' 10'',183,6' 0'',2007
Coby Karl,SG-PG,0.05,-,-,6' 3'',6' 4.75'',8' 3.5'',204,6' 11'',2007
Antanas Kavaliauskas,PF,0.08,-,-,6' 9'',6' 10.5'',8' 10.5'',237,6' 10.5'',2007
Carl Landry,PF,0.08,-,-,6' 7'',6' 8.5'',8' 6.5'',248,6' 11'',2007
Stephane Lasme,PF,0.05,-,-,6' 5'',6' 7'',8' 11'',213,7' 2'',2007
Acie Law,PG,0.06,-,-,6' 2'',6' 3.5'',8' 2'',186,6' 6.5'',2007
Marko Lekic,C,0.11,-,-,6' 9'',6' 10.5'',9' 0.5'',267,7' 1'',2007
Ron Lewis,SG,0.05,-,-,6' 2'',6' 4.5'',8' 3'',194,6' 6.5'',2007
Cartier Martin,SF,0.06,-,-,6' 4'',6' 6.5'',8' 7.5'',218,6' 10'',2007
Dominic McGuire,SF,0.05,-,-,6' 7'',6' 8.25'',8' 8'',220,6' 10.5'',2007
Josh McRoberts,PF,0.14,-,-,6' 8'',6' 10'',8' 10.5'',240,7' 1'',2007
Sammy Mejia,SG,0.08,-,-,6' 5'',6' 7'',8' 9'',218,6' 11'',2007
Brad Newley,SG,0.08,-,-,6' 5'',6' 6.5'',8' 6.5'',201,6' 8'',2007
Demetris Nichols,SF,0.06,-,-,6' 6'',6' 7.5'',8' 9'',211,7' 0.25'',2007
Joakim Noah,PF,0.05,-,-,6' 10'',7' 0'',8' 10.5'',223,7' 1.25'',2007
Greg Oden,C,0.08,-,-,6' 11'',7' 0'',9' 4'',257,7' 4.25'',2007
Ivan Radenovic,PF,0.1,-,-,6' 9'',6' 10.75'',8' 10'',226,6' 11.75'',2007
JR Reynolds,PG,0.08,-,-,6' 0'',6' 2.75'',7' 11'',188,6' 3.25'',2007
Chris Richard,PF,0.08,-,-,6' 7'',6' 8.75'',9' 2.5'',252,7' 4.5'',2007
Dustin Salisbery,SG,0.07,-,-,6' 3'',6' 4.75'',8' 4.5'',208,6' 8'',2007
Blake Schilb,SG,0.1,-,-,6' 5'',6' 7'',8' 6.5'',214,6' 9'',2007
Renaldas Seibutis,SG,0.06,-,-,6' 4'',6' 5.75'',8' 5'',185,6' 8.75'',2007
Ramon Sessions,PG,0.06,-,-,6' 2'',6' 3.75'',8' 1.5'',185,6' 4.25'',2007
Mustafa Shakur,PG,0.04,-,-,6' 3'',6' 4.5'',8' 3'',185,6' 5.5'',2007
Jason Smith,PF,0.08,-,-,6' 10.75'',6' 11.5'',8' 10'',233,6' 10.75'',2007
DJ Strawberry,SG,0.05,-,-,6' 3.75'',6' 5'',8' 5'',199,6' 6.5'',2007
Rodney Stuckey,SG-PG,0.06,-,-,6' 3.75'',6' 4.5'',8' 4.5'',207,6' 7.25'',2007
Curtis Sumpter,SF,0.05,-,-,6' 6'',6' 7.75'',8' 8'',227,6' 9.5'',2007
Yue Sun,SF,0.05,-,-,6' 7.75'',6' 8.75'',8' 9'',212,6' 9'',2007
Jamaal Tatum,PG,0.05,-,-,5' 11.5'',6' 0.75'',7' 9.5'',168,6' 2.5'',2007
Reyshawn Terry,SF,0.09,-,-,6' 6.75'',6' 7.5'',8' 7.5'',222,6' 10'',2007
Al Thornton,SF,0.06,-,-,6' 5.75'',6' 7'',8' 8'',221,7' 1'',2007
Anthony Tolliver,PF,0.06,-,-,6' 7'',6' 8.5'',8' 11.5'',242,7' 2.5'',2007
Ali Traore,C-PF,0.12,-,-,6' 8.75'',6' 9.75'',9' 0.5'',249,7' 4'',2007
Kyle Visser,C,0.1,-,-,6' 10'',6' 11.5'',9' 0'',242,6' 11'',2007
