,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Karl-Anthony Towns,Kentucky,7,464,15906,10724,5274,1434,0.527,0.396,0.833,34.3,23.1,11.4,3.1,63.5,0.192,4.8,27.4
2,2,LAL,D'Angelo Russell,Ohio State,7,408,11979,7280,1456,2247,0.421,0.359,0.778,29.4,17.8,3.6,5.5,13.6,0.055,0.7,8.1
3,3,PHI,Jahlil Okafor,Duke,6,247,4827,2566,1169,225,0.542,0.222,0.676,19.5,10.4,4.7,0.9,7.2,0.071,-2,0
4,4,NYK,Kristaps Porzi??is,,6,320,9907,5995,2499,487,0.442,0.353,0.816,31,18.7,7.8,1.5,25,0.121,1.5,8.8
5,5,ORL,Mario Hezonja,,5,330,6107,2284,1026,415,0.417,0.319,0.812,18.5,6.9,3.1,1.3,3.2,0.025,-2.8,-1.2
6,6,SAC,Willie Cauley-Stein,Kentucky,7,422,9276,3675,2470,598,0.544,0.188,0.612,22,8.7,5.9,1.4,23.4,0.121,-0.1,4.4
7,7,DEN,Emmanuel Mudiay,,6,302,7187,3299,884,1143,0.401,0.323,0.744,23.8,10.9,2.9,3.8,-0.2,-0.001,-3.2,-2.2
8,8,DET,Stanley Johnson,Arizona,7,399,7912,2490,1237,571,0.381,0.3,0.757,19.8,6.2,3.1,1.4,5.5,0.034,-2.8,-1.7
9,9,CHO,Frank Kaminsky,Wisconsin,7,377,7925,3541,1527,619,0.429,0.348,0.743,21,9.4,4.1,1.6,15.3,0.092,-0.3,3.4
10,10,MIA,Justise Winslow,Duke,7,311,8044,2601,1592,781,0.414,0.318,0.637,25.9,8.4,5.1,2.5,8.1,0.048,-2,0
11,11,IND,Myles Turner,Texas,7,431,12379,5485,2879,513,0.489,0.349,0.768,28.7,12.7,6.7,1.2,33.1,0.129,0.7,8.3
12,12,UTA,Trey Lyles,Kentucky,7,432,7771,3298,1840,451,0.439,0.336,0.727,18,7.6,4.3,1,13.4,0.083,-1.1,1.8
13,13,PHO,Devin Booker,Kentucky,7,463,15583,10780,1803,2150,0.454,0.354,0.87,33.7,23.3,3.9,4.6,27.6,0.085,0.3,9
14,14,OKC,Cameron Payne,Murray State,7,262,4551,1929,561,775,0.421,0.365,0.835,17.4,7.4,2.1,3,7.1,0.075,-0.6,1.6
15,15,ATL,Kelly Oubre Jr.,Kansas,7,461,11714,5582,2013,472,0.434,0.331,0.753,25.4,12.1,4.4,1,17,0.07,-1.8,0.6
16,16,BOS,Terry Rozier,Louisville,7,459,11844,5684,1790,1426,0.414,0.374,0.816,25.8,12.4,3.9,3.1,22.4,0.091,0.5,7.6
