,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Ben Simmons,LSU,4,275,9326,4382,2217,2127,0.56,0.147,0.597,33.9,15.9,8.1,7.7,30.4,0.156,3.7,13.5
2,2,LAL,Brandon Ingram,Duke,6,361,11853,6639,1847,1367,0.46,0.361,0.764,32.8,18.4,5.1,3.8,18,0.073,-0.4,4.9
3,3,BOS,Jaylen Brown,California,6,387,11021,6247,1900,756,0.471,0.372,0.711,28.5,16.1,4.9,2,22.7,0.099,0,5.5
4,4,PHO,Dragan Bender,,4,187,3755,1014,720,237,0.399,0.323,0.654,20.1,5.4,3.9,1.3,0.5,0.006,-3.9,-1.9
5,5,MIN,Kris Dunn,Providence,5,231,5561,1889,766,950,0.42,0.305,0.727,24.1,8.2,3.3,4.1,3.7,0.032,-1.9,0.1
6,6,NOP,Buddy Hield,Oklahoma,6,450,13065,7155,1915,1094,0.43,0.4,0.864,29,15.9,4.3,2.4,16.8,0.062,0.2,7.3
7,7,DEN,Jamal Murray,Kentucky,5,345,10384,5639,1258,1322,0.446,0.367,0.878,30.1,16.3,3.6,3.8,20.8,0.096,0.3,6
8,8,SAC,Marquese Chriss,Washington,6,281,5248,2167,1343,293,0.456,0.29,0.666,18.7,7.7,4.8,1,6.2,0.056,-2.3,-0.4
9,9,TOR,Jakob Poeltl,Utah,6,400,7960,2822,2366,566,0.629,0.667,0.512,19.9,7.1,5.9,1.4,27.5,0.166,1.1,6.2
10,10,MIL,Thon Maker,,5,263,3624,1216,726,161,0.435,0.327,0.68,13.8,4.6,2.8,0.6,6.6,0.087,-2.1,-0.1
11,11,ORL,Domantas Sabonis,Gonzaga,6,409,11593,5835,3748,1460,0.534,0.32,0.727,28.3,14.3,9.2,3.6,34.6,0.143,1.8,11
12,12,UTA,Taurean Prince,Baylor,6,352,8564,3706,1385,626,0.414,0.37,0.82,24.3,10.5,3.9,1.8,7.6,0.042,-1.8,0.4
13,13,PHO,Georgios Papagiannis,,2,39,477,160,123,29,0.514,0,0.857,12.2,4.1,3.2,0.7,0.4,0.044,-3.9,-0.2
14,14,CHI,Denzel Valentine,Michigan State,5,256,4817,1795,857,466,0.394,0.36,0.787,18.8,7,3.3,1.8,4.5,0.045,-1.8,0.2
15,15,DEN,Juancho Hernangómez,,6,282,4362,1487,948,177,0.424,0.345,0.693,15.5,5.3,3.4,0.6,7.1,0.078,-2,0
16,16,BOS,Guerschon Yabusele,,2,74,486,173,105,31,0.442,0.323,0.682,6.6,2.3,1.4,0.4,1.1,0.105,-1.9,0
17,17,MEM,Wade Baldwin,Vanderbilt,3,56,579,174,69,78,0.355,0.25,0.776,10.3,3.1,1.2,1.4,-0.3,-0.028,-5.3,-0.5
18,18,DET,Henry Ellenson,Marquette,5,83,787,342,206,49,0.371,0.336,0.773,9.5,4.1,2.5,0.6,0.4,0.023,-3.7,-0.3
19,19,DEN,Malik Beasley,Florida State,6,319,6608,3285,779,390,0.43,0.383,0.808,20.7,10.3,2.4,1.2,9.3,0.068,-1.1,1.5
20,20,IND,Caris LeVert,Michigan,6,303,8318,4444,1158,1197,0.436,0.333,0.737,27.5,14.7,3.8,4,11.6,0.067,-0.4,3.4
21,21,ATL,DeAndre' Bembry,Saint Joseph's,6,291,5635,1750,945,530,0.475,0.283,0.611,19.4,6,3.2,1.8,4.4,0.038,-2.3,-0.4
22,22,CHO,Malachi Richardson,Syracuse,3,70,625,198,70,24,0.358,0.301,0.783,8.9,2.8,1,0.3,-0.1,-0.009,-6.1,-0.7
23,23,BOS,Ante Žižić,,3,113,1517,674,446,64,0.581,,0.711,13.4,6,3.9,0.6,3.5,0.11,-2.6,-0.2
24,24,PHI,Timothé Luwawu-Cabarrot,,6,313,5024,1859,623,279,0.39,0.334,0.828,16.1,5.9,2,0.9,4.3,0.041,-4.1,-2.6
25,25,LAC,Brice Johnson,UNC,2,21,107,47,34,3,0.449,0,0.6,5.1,2.2,1.6,0.1,0.1,0.062,-0.6,0
26,26,PHI,Furkan Korkmaz,,5,243,4638,1966,555,336,0.406,0.358,0.769,19.1,8.1,2.3,1.4,7.2,0.074,-1.6,0.4
27,27,TOR,Pascal Siakam,New Mexico State,6,381,11037,5779,2352,1131,0.487,0.326,0.775,29,15.2,6.2,3,30.1,0.131,1.4,9.5
28,28,PHO,Skal Labissière,Kentucky,4,148,2595,1069,662,152,0.492,0.353,0.748,17.5,7.2,4.5,1,4.4,0.081,-2.3,-0.2
29,29,SAS,Dejounte Murray,Washington,5,307,7794,3672,1817,1428,0.455,0.328,0.761,25.4,12,5.9,4.7,15,0.093,1.5,6.9
30,30,GSW,Damian Jones,Vanderbilt,6,185,2653,926,600,139,0.662,0.267,0.699,14.3,5,3.2,0.8,7.8,0.141,-1.3,0.5
31,31,BOS,Deyonta Davis,Michigan State,3,107,1299,454,346,47,0.599,0,0.635,12.1,4.2,3.2,0.4,3.6,0.131,-2.1,0
32,32,LAL,Ivica Zubac,,6,343,6428,2811,2191,375,0.6,0.1,0.754,18.7,8.2,6.4,1.1,24.7,0.184,0.7,4.4
33,33,LAC,Cheick Diallo,Kansas,5,183,2186,958,759,78,0.596,0.286,0.774,11.9,5.2,4.1,0.4,6.3,0.139,-1.4,0.3
34,34,PHO,Tyler Ulis,Kentucky,3,133,2782,998,223,537,0.403,0.28,0.808,20.9,7.5,1.7,4,0.5,0.008,-3.6,-1.1
35,35,BOS,Rade Zagorac,,,,,,,,,,,,,,,,,,
36,36,MIL,Malcolm Brogdon,Virginia,6,328,9881,5057,1378,1567,0.464,0.379,0.882,30.1,15.4,4.2,4.8,24.4,0.118,1.2,7.9
37,37,HOU,Chinanu Onuaku,Louisville,2,6,74,18,14,4,0.583,,1,12.3,3,2.3,0.7,0.1,0.043,-5.4,-0.1
38,38,MIL,Patrick McCaw,UNLV,5,199,3373,760,319,270,0.42,0.305,0.785,16.9,3.8,1.6,1.4,4.4,0.062,-2.8,-0.6
39,39,NOP,David Michineau,,,,,,,,,,,,,,,,,,
40,40,NOP,Diamond Stone,Maryland,1,7,24,10,6,0,0.231,,1,3.4,1.4,0.9,0,-0.1,-0.211,-20.8,-0.1
41,41,ORL,Stephen Zimmerman,UNLV,1,19,108,23,35,4,0.323,,0.6,5.7,1.2,1.8,0.2,0,-0.005,-8.3,-0.2
42,42,UTA,Isaiah Whitehead,Seton Hall,2,89,1823,643,210,212,0.411,0.305,0.788,20.5,7.2,2.4,2.4,-0.9,-0.025,-5,-1.4
43,43,HOU,Zhou Qi,,2,19,125,24,22,2,0.212,0.105,0.667,6.6,1.3,1.2,0.1,-0.2,-0.093,-9.6,-0.2
44,44,ATL,Isaïa Cordinier,,,,,,,,,,,,,,,,,,
45,45,BOS,Demetrius Jackson,Notre Dame,3,26,136,48,19,17,0.486,0.286,0.667,5.2,1.8,0.7,0.7,0.2,0.087,-0.5,0.1
46,46,DAL,A.J. Hammons,Purdue,1,22,163,48,36,4,0.405,0.5,0.45,7.4,2.2,1.6,0.2,0,-0.001,-6.6,-0.2
47,47,ORL,Jake Layman,Maryland,6,233,3041,1142,405,125,0.459,0.297,0.72,13.1,4.9,1.7,0.5,3.7,0.058,-2.3,-0.2
48,48,CHI,Paul Zipser,,2,98,1667,458,256,82,0.371,0.335,0.769,17,4.7,2.6,0.8,0,-0.001,-5.2,-1.4
49,49,DET,Michael Gbinije,Syracuse,1,9,32,4,3,2,0.1,0,1,3.6,0.4,0.3,0.2,-0.1,-0.136,-12.1,-0.1
50,50,IND,Georges Niang,Iowa State,6,286,4034,1682,567,229,0.435,0.402,0.865,14.1,5.9,2,0.8,7.4,0.088,-1.2,0.8
51,51,BOS,Ben Bentil,Providence,1,3,10,0,2,0,0,0,,3.3,0,0.7,0,-0.1,-0.473,-25.9,-0.1
52,52,UTA,Joel Bolomboy,Weber State,2,18,91,31,27,2,0.545,0.2,0.5,5.1,1.7,1.5,0.1,0.3,0.132,-0.1,0
53,53,DEN,Petr Cornelie,,1,13,38,14,14,3,0.333,0.125,0.75,2.9,1.1,1.1,0.2,0,-0.006,-8.7,-0.1
54,54,ATL,Kay Felder,Oakland,2,58,526,223,59,78,0.364,0.268,0.754,9.1,3.8,1,1.3,-0.4,-0.041,-4.7,-0.4
55,55,BRK,Marcus Paige,UNC,1,5,28,12,4,3,0.286,0.25,1,5.6,2.4,0.8,0.6,0,-0.006,-8.8,0
56,56,DEN,Daniel Hamilton,UConn,2,25,232,69,52,30,0.394,0.357,0.5,9.3,2.8,2.1,1.2,0,0,-3.3,-0.1
57,57,MEM,Wang Zhelin,,,,,,,,,,,,,,,,,,
58,58,BOS,Abdel Nader,Iowa State,5,202,2583,926,376,110,0.428,0.357,0.718,12.8,4.6,1.9,0.5,2.8,0.052,-2.6,-0.4
59,59,SAC,Isaiah Cousins,Oklahoma,,,,,,,,,,,,,,,,,
60,60,UTA,Tyrone Wallace,California,3,106,1639,549,228,126,0.425,0.203,0.671,15.5,5.2,2.2,1.2,0.2,0.006,-5.1,-1.3
