,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
32,32,CHO,Vernon Carey Jr.,Duke,2,24,133,54,32,2,0.5,0.143,0.786,5.5,2.3,1.3,0.1,0.2,0.07,-6.4,-0.1
33,33,MIN,Daniel Oturu,Minnesota,2,33,188,63,53,10,0.431,0.167,0.706,5.7,1.9,1.6,0.3,0.3,0.086,-5.2,-0.2
34,34,PHI,Théo Maledon,,2,100,2280,825,270,274,0.361,0.321,0.77,22.8,8.3,2.7,2.7,-0.7,-0.016,-5,-1.8
35,35,SAC,Xavier Tillman Sr.,Michigan State,2,99,1596,566,372,115,0.522,0.29,0.644,16.1,5.7,3.8,1.2,4.1,0.123,0.2,0.9
36,36,PHI,Tyler Bey,Colorado,1,18,71,18,19,3,0.318,0.25,0.6,3.9,1,1.1,0.2,0,-0.033,-9.5,-0.1
37,37,WAS,Vit Krejci,,1,10,120,33,18,7,0.429,0.313,1,12,3.3,1.8,0.7,0.1,0.05,-6.2,-0.1
38,38,UTA,Saben Lee,Vanderbilt,2,76,1188,404,163,238,0.437,0.299,0.712,15.6,5.3,2.1,3.1,1.9,0.079,-1.2,0.2
39,39,NOP,Elijah Hughes,Syracuse,2,38,261,94,38,16,0.33,0.297,0.857,6.9,2.5,1,0.4,-0.2,-0.029,-5.2,-0.2
40,40,MEM,Robert Woodard II,Mississippi State,2,25,87,27,27,5,0.278,0.2,0.5,3.5,1.1,1.1,0.2,-0.1,-0.075,-7.8,-0.1
41,41,SAS,Tre Jones,Duke,2,87,973,351,113,171,0.504,0.222,0.847,11.2,4,1.3,2,2.1,0.105,-1.8,0
42,42,NOP,Nick Richards,Kentucky,2,60,409,157,91,15,0.659,0,0.685,6.8,2.6,1.5,0.3,1.1,0.123,-3.1,-0.1
43,43,SAC,Jahmi'us Ramsey,Texas Tech,2,32,228,100,23,13,0.406,0.27,0.632,7.1,3.1,0.7,0.4,-0.1,-0.02,-6,-0.2
44,44,CHI,Marko Simonovic,,1,9,35,17,10,0,0.267,0.2,0.727,3.9,1.9,1.1,0,0,-0.001,-11,-0.1
45,45,MIL,Jordan Nwora,Louisville,2,79,1209,560,233,54,0.421,0.388,0.771,15.3,7.1,2.9,0.7,1,0.04,-2.9,-0.3
46,46,POR,CJ Elleby,Washington State,2,68,805,242,148,52,0.384,0.238,0.774,11.8,3.6,2.2,0.8,0.6,0.034,-4.4,-0.5
47,47,BOS,Yam Madar,,,,,,,,,,,,,,,,,,
48,48,GSW,Nico Mannion,Arizona,1,30,364,123,46,70,0.342,0.367,0.821,12.1,4.1,1.5,2.3,0.2,0.029,-3.9,-0.2
49,49,PHI,Isaiah Joe,Arkansas,2,84,891,317,83,50,0.361,0.352,0.844,10.6,3.8,1,0.6,1.1,0.058,-3.7,-0.4
50,50,ATL,Skylar Mays,LSU,2,57,479,204,60,46,0.475,0.338,0.882,8.4,3.6,1.1,0.8,1.1,0.109,0.4,0.3
51,51,GSW,Justinian Jessup,Boise State,,,,,,,,,,,,,,,,,
52,52,SAC,Kenyon Martin Jr.,,2,104,2261,935,470,127,0.519,0.357,0.676,21.7,9,4.5,1.2,4.4,0.093,-1.3,0.4
53,53,OKC,Cassius Winston,Michigan State,2,27,125,51,9,17,0.436,0.455,0.875,4.6,1.9,0.3,0.6,0.2,0.085,-3.5,0
54,54,IND,Cassius Stanley,Duke,2,33,248,88,39,5,0.36,0.233,0.895,7.5,2.7,1.2,0.2,0,-0.007,-8,-0.4
55,55,BRK,Jay Scrubb,John A. Logan College,2,22,205,84,30,9,0.39,0.267,0.8,9.3,3.8,1.4,0.4,-0.1,-0.025,-7.2,-0.3
56,56,CHO,Grant Riller,College of Charleston,1,7,27,18,1,3,0.667,0.5,,3.9,2.6,0.1,0.4,0.1,0.177,5.1,0
57,57,LAC,Reggie Perry,Mississippi State,2,29,262,91,81,16,0.42,0.217,0.8,9,3.1,2.8,0.6,0.2,0.046,-6.7,-0.3
58,58,PHI,Paul Reed,DePaul,2,52,410,149,126,22,0.504,0.091,0.444,7.9,2.9,2.4,0.4,1.2,0.141,-1.3,0.1
59,59,TOR,Jalen Harris,Nevada,1,13,172,96,18,17,0.5,0.472,0.778,13.2,7.4,1.4,1.3,0.3,0.079,0.3,0.1
60,60,NOP,Sam Merrill,Utah State University,2,36,291,114,37,25,0.417,0.4,0.75,8.1,3.2,1,0.7,0.5,0.087,-2,0
