,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Anthony Edwards,Georgia,2,128,4249,2588,600,416,0.424,0.337,0.772,33.2,20.2,4.7,3.3,3.7,0.042,-0.8,1.3
2,2,GSW,James Wiseman,Memphis,1,39,836,448,226,26,0.519,0.316,0.628,21.4,11.5,5.8,0.7,0.7,0.042,-5,-0.6
3,3,CHO,LaMelo Ball,,2,108,3308,1921,694,732,0.425,0.362,0.814,30.6,17.8,6.4,6.8,6.9,0.101,2.4,3.7
4,4,CHI,Patrick Williams,Florida State,2,76,2108,688,338,102,0.486,0.396,0.736,27.7,9.1,4.4,1.3,2.7,0.061,-2.4,-0.2
5,5,CLE,Isaac Okoro,Auburn,2,114,3534,1058,355,212,0.435,0.301,0.741,31,9.3,3.1,1.9,3.8,0.051,-3.9,-1.7
6,6,ATL,Onyeka Okongwu,USC,2,79,1212,483,317,52,0.691,0,0.685,15.3,6.1,4,0.7,4.5,0.178,0,0.6
7,7,DET,Killian Hayes,,2,77,1912,479,222,349,0.356,0.263,0.795,24.8,6.2,2.9,4.5,-1.2,-0.03,-5.3,-1.6
8,8,NYK,Obi Toppin,Dayton,2,119,1540,659,336,78,0.504,0.262,0.737,12.9,5.5,2.8,0.7,3.5,0.109,-0.5,0.6
9,9,WAS,Deni Avdija,,2,115,2685,806,575,164,0.429,0.312,0.73,23.3,7,5,1.4,3.4,0.061,-2.2,-0.1
10,10,PHO,Jalen Smith,Maryland,2,64,739,333,240,18,0.482,0.31,0.785,11.5,5.2,3.8,0.3,2,0.127,-1.9,0
11,11,SAS,Devin Vassell,Florida State,2,117,2499,987,411,156,0.423,0.346,0.826,21.4,8.4,3.5,1.3,3.9,0.075,-1,0.7
12,12,SAC,Tyrese Haliburton,Iowa State,2,117,3809,1643,407,765,0.468,0.413,0.839,32.6,14,3.5,6.5,8.8,0.111,2.2,4
13,13,NOP,Kira Lewis Jr.,Alabama,2,78,1245,484,110,173,0.391,0.298,0.841,16,6.2,1.4,2.2,0.7,0.029,-3.6,-0.5
14,14,BOS,Aaron Nesmith,Vanderbilt,2,91,1142,369,204,41,0.405,0.31,0.809,12.5,4.1,2.2,0.5,1.2,0.049,-4.2,-0.6
15,15,ORL,Cole Anthony,UNC,2,96,2886,1456,498,476,0.395,0.333,0.847,30.1,15.2,5.2,5,1.2,0.02,-2.1,-0.1
16,16,POR,Isaiah Stewart,Washington,2,123,2889,998,920,118,0.535,0.284,0.691,23.5,8.1,7.5,1,6.4,0.106,-2.3,-0.2
17,17,MIN,Aleksej Pokusevski,,2,91,1879,640,421,157,0.365,0.28,0.689,20.6,7,4.6,1.7,-1.8,-0.045,-4.8,-1.3
18,18,DAL,Josh Green,Arizona,2,87,1130,309,183,89,0.49,0.262,0.655,13,3.6,2.1,1,2.4,0.1,-1.7,0.1
19,19,BRK,Saddiq Bey,Villanova,2,133,4024,1868,686,271,0.398,0.361,0.838,30.3,14,5.2,2,6,0.071,-0.5,1.5
20,20,MIA,Precious Achiuwa,Memphis,2,114,1967,734,575,90,0.473,0.324,0.538,17.3,6.4,5,0.8,2.9,0.071,-3.5,-0.8
21,21,PHI,Tyrese Maxey,Kentucky,2,115,2855,1424,297,364,0.472,0.371,0.87,24.8,12.4,2.6,3.2,7.3,0.123,0,1.4
22,22,DEN,Zeke Nnaji,Arizona,2,81,1048,401,209,25,0.518,0.452,0.649,12.9,5,2.6,0.3,2.8,0.13,-1.7,0.1
23,23,NYK,Leandro Bolmaro,,1,25,188,28,35,11,0.281,0.167,0.889,7.5,1.1,1.4,0.4,-0.1,-0.021,-6.7,-0.2
24,24,MIL,R.J. Hampton,,2,96,1761,683,309,194,0.413,0.348,0.641,18.3,7.1,3.2,2,0.3,0.009,-3.5,-0.7
25,25,OKC,Immanuel Quickley,Kentucky,2,122,2477,1285,272,296,0.384,0.36,0.903,20.3,10.5,2.2,2.4,4.8,0.093,-0.7,0.8
26,26,BOS,Payton Pritchard,Oregon,2,120,1962,787,246,220,0.424,0.396,0.915,16.4,6.6,2.1,1.8,3.9,0.095,-0.8,0.6
27,27,UTA,Udoka Azubuike,Kansas,2,30,235,88,75,0,0.698,,0.667,7.8,2.9,2.5,0,0.7,0.139,-2.4,0
28,28,LAL,Jaden McDaniels,Washington,2,123,3061,967,485,141,0.448,0.333,0.714,24.9,7.9,3.9,1.1,3.4,0.053,-3.3,-1
29,29,TOR,Malachi Flynn,San Diego State,2,86,1368,506,170,192,0.381,0.318,0.76,15.9,5.9,2,2.2,1.6,0.056,-2.4,-0.1
30,30,BOS,Desmond Bane,TCU,2,128,3330,1676,477,270,0.457,0.419,0.878,26,13.1,3.7,2.1,7.8,0.113,0.5,2.1
31,31,DAL,Tyrell Terry,Stanford,2,13,59,13,6,6,0.353,0,0.333,4.5,1,0.5,0.5,0,-0.035,-4.8,0
