,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Anthony Bennett,UNLV,4,151,1905,658,472,77,0.392,0.261,0.67,12.6,4.4,3.1,0.5,0.5,0.013,-4.8,-1.3
2,2,ORL,Victor Oladipo,Indiana,8,454,14968,7955,2094,1796,0.438,0.347,0.791,33,17.5,4.6,4,24.6,0.079,0.9,10.8
3,3,WAS,Otto Porter Jr.,Georgetown,9,493,12794,5243,2461,751,0.478,0.4,0.792,26,10.6,5,1.5,35.3,0.132,1.8,12.3
4,4,CHA,Cody Zeller,Indiana,9,494,10973,4202,2949,691,0.52,0.221,0.731,22.2,8.5,6,1.4,32.2,0.141,-0.5,4.1
5,5,PHO,Alex Len,Maryland,9,565,10711,4345,3333,485,0.507,0.331,0.683,19,7.7,5.9,0.9,21.5,0.097,-1.9,0.3
6,6,NOH,Nerlens Noel,Kentucky,8,450,10086,3303,2789,491,0.549,0.154,0.655,22.4,7.3,6.2,1.1,28.2,0.134,0.9,7.5
7,7,SAC,Ben McLemore,Kansas,9,537,12091,4757,1237,545,0.414,0.363,0.776,22.5,8.9,2.3,1,8.8,0.035,-3.1,-3.2
8,8,DET,Kentavious Caldwell-Pope,Georgia,9,664,19371,7582,2080,1108,0.418,0.358,0.811,29.2,11.4,3.1,1.7,33.5,0.083,-0.8,5.8
9,9,MIN,Trey Burke,Michigan,9,488,10306,4759,873,1511,0.412,0.345,0.812,21.1,9.8,1.8,3.1,13.2,0.062,-1.2,1.9
10,10,POR,CJ McCollum,Lehigh,9,572,18032,10923,1972,1940,0.454,0.397,0.819,31.5,19.1,3.4,3.4,39.3,0.105,1.3,15
11,11,PHI,Michael Carter-Williams,Syracuse,8,391,9898,4023,1713,1701,0.402,0.255,0.706,25.3,10.3,4.4,4.4,6.6,0.032,-1.2,1.9
12,12,OKC,Steven Adams,Pitt,9,648,17396,6048,5135,925,0.587,0.077,0.548,26.8,9.3,7.9,1.4,54.2,0.15,0.4,10.8
13,13,DAL,Kelly Olynyk,Gonzaga,9,596,13164,6024,3036,1209,0.475,0.365,0.779,22.1,10.1,5.1,2,34.3,0.125,0.9,9.4
14,14,UTA,Shabazz Muhammad,UCLA,5,278,4772,2504,770,151,0.473,0.319,0.751,17.2,9,2.8,0.5,8.5,0.085,-2,0
15,15,MIL,Giannis Antetokounmpo,,9,641,20852,13845,5969,2945,0.533,0.289,0.719,32.5,21.6,9.3,4.6,84.9,0.196,5.9,41.6
16,16,BOS,Lucas Nogueira,,4,141,1754,446,388,72,0.632,0.265,0.64,12.4,3.2,2.8,0.5,6,0.165,2.3,1.9
17,17,ATL,Dennis Schröder,,9,612,16226,8708,1806,2864,0.435,0.337,0.832,26.5,14.2,3,4.7,23.1,0.068,-1.2,3.3
18,18,ATL,Shane Larkin,Miami (FL),4,256,4880,1399,490,737,0.422,0.336,0.777,19.1,5.5,1.9,2.9,4.4,0.044,-2.4,-0.6
19,19,CLE,Sergey Karasev,,3,95,1110,287,140,87,0.395,0.282,0.842,11.7,3,1.5,0.9,0.8,0.036,-3.4,-0.4
20,20,CHI,Tony Snell,New Mexico,9,592,12940,3630,1361,665,0.431,0.394,0.845,21.9,6.1,2.3,1.1,18.5,0.069,-2,0.1
21,21,UTA,Gorgui Dieng,Louisville,9,593,12252,4459,3423,783,0.5,0.367,0.791,20.7,7.5,5.8,1.3,30.6,0.12,0.4,7.3
22,22,BRK,Mason Plumlee,Duke,9,643,14368,5372,4252,1551,0.582,0.049,0.558,22.3,8.4,6.6,2.4,43.1,0.144,1.3,11.9
23,23,IND,Solomon Hill,Arizona,9,448,9652,2453,1399,662,0.388,0.331,0.797,21.5,5.5,3.1,1.5,11.9,0.059,-2.1,-0.3
24,24,NYK,Tim Hardaway Jr.,Michigan,9,586,15837,8149,1650,1095,0.422,0.358,0.812,27,13.9,2.8,1.9,26,0.079,-0.8,4.9
