,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CHI,Derrick Rose,Memphis,13,672,21317,12230,2239,3646,0.457,0.316,0.83,31.7,18.2,3.3,5.4,44.2,0.1,1.4,18.4
2,2,MIA,Michael Beasley,Kansas State,11,609,13903,7568,2861,788,0.465,0.349,0.759,22.8,12.4,4.7,1.3,15.6,0.054,-1.7,0.9
3,3,MIN,O.J. Mayo,USC,8,547,16919,7574,1706,1607,0.429,0.373,0.82,30.9,13.8,3.1,2.9,21.8,0.062,-0.9,4.7
4,4,SEA,Russell Westbrook,UCLA,14,1004,34846,22962,7428,8504,0.437,0.304,0.785,34.7,22.9,7.4,8.5,106.1,0.146,4.3,55.6
5,5,MEM,Kevin Love,UCLA,14,792,24616,14054,8513,1880,0.44,0.372,0.829,31.1,17.7,10.7,2.4,87.6,0.171,3.4,33.6
6,6,NYK,Danilo Gallinari,,13,713,21339,11105,3435,1381,0.427,0.382,0.877,29.9,15.6,4.8,1.9,63.1,0.142,1.8,20.5
7,7,LAC,Eric Gordon,Indiana,14,742,24068,12199,1797,2112,0.428,0.37,0.81,32.4,16.4,2.4,2.8,36.3,0.072,-0.5,8.8
8,8,MIL,Joe Alexander,West Virginia,2,67,745,282,120,44,0.41,0.34,0.698,11.1,4.2,1.8,0.7,0.5,0.03,-3.6,-0.3
9,9,CHA,D.J. Augustin,Texas,14,956,22500,9150,1779,3734,0.411,0.38,0.867,23.5,9.6,1.9,3.9,47.1,0.101,-0.6,7.7
10,10,NJN,Brook Lopez,Stanford,14,856,25922,14094,5359,1240,0.494,0.34,0.796,30.3,16.5,6.3,1.4,70.9,0.131,1.3,21.6
11,11,IND,Jerryd Bayless,Arizona,11,586,12486,4909,1235,1674,0.411,0.361,0.818,21.3,8.4,2.1,2.9,18.6,0.072,-1.6,1.1
12,12,SAC,Jason Thompson,Rider University,8,588,14819,5210,3880,635,0.496,0.143,0.657,25.2,8.9,6.6,1.1,23.8,0.077,-2.6,-2.4
13,13,POR,Brandon Rush,Kansas,9,481,10564,3250,1413,468,0.426,0.402,0.706,22,6.8,2.9,1,11.2,0.051,-1.4,1.6
14,14,GSW,Anthony Randolph,LSU,6,252,3841,1789,1078,187,0.453,0.241,0.74,15.2,7.1,4.3,0.7,5.8,0.072,-1.6,0.4
15,15,PHO,Robin Lopez,Stanford,14,930,20427,8151,4575,786,0.537,0.296,0.743,22,8.8,4.9,0.8,48.9,0.115,-1,4.9
16,16,PHI,Marreese Speights,Florida,10,705,10640,5592,2875,461,0.459,0.356,0.797,15.1,7.9,4.1,0.7,25.8,0.116,-2.2,-0.6
17,17,TOR,Roy Hibbert,Georgetown,9,662,16389,6611,4173,885,0.465,0.25,0.755,24.8,10,6.3,1.3,35.9,0.105,-1.1,3.5
18,18,WAS,JaVale McGee,Nevada,14,803,13704,6393,4235,352,0.576,0.188,0.602,17.1,8,5.3,0.4,41.6,0.146,0.2,7.5
19,19,CLE,J.J. Hickson,NC State,8,534,11925,5081,3639,449,0.505,0,0.617,22.3,9.5,6.8,0.8,21.9,0.088,-1.8,0.5
20,20,CHA,Alexis Ajinça,,7,293,3905,1553,1150,143,0.503,0.286,0.797,13.3,5.3,3.9,0.5,7.5,0.093,-2.8,-0.8
21,21,NJN,Ryan Anderson,California,12,649,16769,8001,3413,586,0.422,0.38,0.854,25.8,12.3,5.3,0.9,46.7,0.134,1,12.8
22,22,ORL,Courtney Lee,Western Kentucky,12,811,21938,7765,2127,1353,0.451,0.388,0.853,27.1,9.6,2.6,1.7,39.3,0.086,-0.6,7.9
23,23,UTA,Kosta Koufos,Ohio State,11,686,11271,3913,3452,359,0.534,0,0.582,16.4,5.7,5,0.5,28.3,0.12,-1.3,2
24,24,SEA,Serge Ibaka,,13,890,24730,10863,6404,736,0.513,0.359,0.758,27.8,12.2,7.2,0.8,72.1,0.14,0.5,15.8
25,25,HOU,Nicolas Batum,,14,900,27642,10026,4648,3182,0.437,0.363,0.838,30.7,11.1,5.2,3.5,62.7,0.109,1.7,25.8
26,26,SAS,George Hill,IUPUI,14,856,23458,9268,2623,2678,0.457,0.381,0.807,27.4,10.8,3.1,3.1,69,0.141,1.3,19.3
27,27,NOH,Darrell Arthur,Kansas,9,503,8945,3282,1768,409,0.444,0.352,0.765,17.8,6.5,3.5,0.8,12.3,0.066,-2.2,-0.4
28,28,MEM,Donté Greene,Syracuse,4,253,4259,1541,600,183,0.406,0.304,0.701,16.8,6.1,2.4,0.7,1.5,0.017,-2.8,-0.9
29,29,DET,D.J. White,Indiana,6,138,2111,810,437,80,0.507,0.333,0.72,15.3,5.9,3.2,0.6,3.8,0.087,-2.1,0
30,30,BOS,J.R. Giddens,New Mexico,2,38,247,73,54,13,0.476,0,0.565,6.5,1.9,1.4,0.3,0.1,0.027,-4.3,-0.1
31,31,MIN,Nikola Peković,,6,271,6744,3405,1807,199,0.518,,0.76,24.9,12.6,6.7,0.7,18.8,0.134,-0.7,2.2
32,32,SEA,Walter Sharpe,UAB,1,8,20,8,3,0,0.364,0,0,2.5,1,0.4,0,-0.1,-0.131,-10.1,0
33,33,POR,Joey Dorsey,Memphis,4,130,1488,344,513,55,0.534,0,0.375,11.4,2.6,3.9,0.4,2.9,0.092,-2.7,-0.3
34,34,MIN,Mario Chalmers,Kansas,9,646,17245,5743,1585,2412,0.417,0.351,0.793,26.7,8.9,2.5,3.7,32.3,0.09,-0.6,5.9
35,35,LAC,DeAndre Jordan,Texas A&M,14,964,25980,8859,10050,924,0.674,0.083,0.474,27,9.2,10.4,1,93.9,0.173,1.3,22
36,36,POR,Ömer Aşık,,8,471,9216,2479,3362,280,0.528,0,0.551,19.6,5.3,7.1,0.6,20.9,0.109,-1.9,0.1
37,37,MIL,Luc Mbah a Moute,UCLA,12,689,16038,4380,2800,588,0.454,0.334,0.659,23.3,6.4,4.1,0.9,26,0.078,-1.5,2
38,38,CHA,Kyle Weaver,Washington State,3,73,1379,363,158,119,0.441,0.353,0.736,18.9,5,2.2,1.6,1.5,0.051,-1.1,0.3
39,39,CHI,Sonny Weems,Arkansas,4,183,3335,1189,402,257,0.465,0.283,0.702,18.2,6.5,2.2,1.4,0,0.001,-4.2,-1.8
40,40,NJN,Chris Douglas-Roberts,Memphis,6,222,4381,1571,472,254,0.439,0.329,0.831,19.7,7.1,2.1,1.1,5.4,0.059,-2.2,-0.2
41,41,IND,Nathan Jawai,,2,45,431,126,106,24,0.435,0,0.684,9.6,2.8,2.4,0.5,0.2,0.02,-4.4,-0.3
42,42,SAC,Sean Singletary,Virginia,1,37,303,90,35,29,0.365,0.4,0.857,8.2,2.4,0.9,0.8,0,0.006,-5.1,-0.2
43,43,SAC,Patrick Ewing,Georgetown,1,7,19,3,2,2,0,0,0.75,2.7,0.4,0.3,0.3,-0.1,-0.158,-9.1,0
44,44,UTA,Ante Tomić,,,,,,,,,,,,,,,,,,
45,45,SAS,Goran Dragić,,14,876,24400,12117,2693,4193,0.461,0.363,0.766,27.9,13.8,3.1,4.8,56.2,0.111,0.7,16.5
46,46,SEA,Trent Plaisted,Brigham Young University Hawaii,,,,,,,,,,,,,,,,,
47,47,WAS,Henry Walker,Kansas State,5,181,3016,1079,401,153,0.446,0.369,0.76,16.7,6,2.2,0.8,5,0.079,-1.8,0.2
48,48,PHO,Malik Hairston,Oregon,2,62,472,149,77,29,0.512,0.167,0.514,7.6,2.4,1.2,0.5,0.8,0.086,-2,0
49,49,GSW,Richard Hendrix,Alabama,,,,,,,,,,,,,,,,,
50,50,SEA,DeVon Hardin,California,,,,,,,,,,,,,,,,,
51,51,DAL,Shan Foster,Vanderbilt,,,,,,,,,,,,,,,,,
52,52,MIA,Darnell Jackson,Kansas,3,138,1039,308,203,26,0.449,0.235,0.644,7.5,2.2,1.5,0.2,1.3,0.059,-5.2,-0.8
53,53,UTA,Tadija Dragićević,,,,,,,,,,,,,,,,,,
54,54,HOU,Maarty Leunen,Oregon,,,,,,,,,,,,,,,,,
55,55,POR,Mike Taylor,Iowa State,1,51,771,289,87,106,0.412,0.325,0.691,15.1,5.7,1.7,2.1,-0.4,-0.028,-5.2,-0.6
56,56,SEA,Sasha Kaun,Kansas,1,25,95,23,26,3,0.529,,0.455,3.8,0.9,1,0.1,0.2,0.096,-2.8,0
57,57,SAS,James Gist,Maryland,,,,,,,,,,,,,,,,,
58,58,LAL,Joe Crawford,Kentucky,1,2,23,9,4,1,0.3,0.25,1,11.5,4.5,2,0.5,0,0.037,-2.7,0
59,59,DET,Deron Washington,Virginia Tech,,,,,,,,,,,,,,,,,
60,60,BOS,Semih Erden,,2,69,928,262,190,29,0.546,,0.594,13.4,3.8,2.8,0.4,1.8,0.094,-3.6,-0.4
