Column1,_1,Rk,Pk,Tm,PLAYER,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Year
15,9,10,10,MIA,Justise Winslow,Duke,7,311,8044,2601,1592,781,0.414,0.318,0.637,25.9,8.4,5.1,2.5,8.1,0.048,-2,0,2015
15,10,11,11,IND,Myles Turner,Texas,7,431,12379,5485,2879,513,0.489,0.349,0.768,28.7,12.7,6.7,1.2,33.1,0.129,0.7,8.3,2015
15,11,12,12,UTA,Trey Lyles,Kentucky,7,432,7771,3298,1840,451,0.439,0.336,0.727,18,7.6,4.3,1,13.4,0.083,-1.1,1.8,2015
15,12,13,13,PHO,Devin Booker,Kentucky,7,463,15583,10780,1803,2150,0.454,0.354,0.87,33.7,23.3,3.9,4.6,27.6,0.085,0.3,9,2015
15,13,14,14,OKC,Cameron Payne,Murray State,7,262,4551,1929,561,775,0.421,0.365,0.835,17.4,7.4,2.1,3,7.1,0.075,-0.6,1.6,2015
15,14,15,15,ATL,Kelly Oubre Jr.,Kansas,7,461,11714,5582,2013,472,0.434,0.331,0.753,25.4,12.1,4.4,1,17,0.07,-1.8,0.6,2015
15,15,16,16,BOS,Terry Rozier,Louisville,7,459,11844,5684,1790,1426,0.414,0.374,0.816,25.8,12.4,3.9,3.1,22.4,0.091,0.5,7.6,2015
15,16,17,17,MIL,Rashad Vaughn,UNLV,3,139,1671,423,158,75,0.337,0.313,0.692,12,3,1.1,0.5,-0.6,-0.017,-4.7,-1.2,2015
15,17,18,18,HOU,Sam Dekker,Wisconsin,5,201,3097,1094,607,160,0.478,0.288,0.606,15.4,5.4,3,0.8,5.4,0.083,-1.4,0.5,2015
15,18,19,19,WAS,Jerian Grant,Notre Dame,5,279,4998,1692,530,805,0.411,0.323,0.77,17.9,6.1,1.9,2.9,8.3,0.08,-1.6,0.5,2015
15,19,20,20,TOR,Delon Wright,Utah,7,391,8152,2859,1261,1193,0.452,0.353,0.796,20.8,7.3,3.2,3.1,21.4,0.126,2,8.3,2015
15,20,21,21,DAL,Justin Anderson,Virginia,6,232,3041,1203,585,160,0.412,0.293,0.776,13.1,5.2,2.5,0.7,4.7,0.074,-1.4,0.4,2015
15,21,22,22,CHI,Bobby Portis,Arkansas,7,435,9367,4816,2832,518,0.471,0.388,0.75,21.5,11.1,6.5,1.2,20.3,0.104,-0.6,3.4,2015
15,22,23,23,POR,Rondae Hollis-Jefferson,Arizona,6,305,6759,2760,1684,579,0.449,0.212,0.735,22.2,9,5.5,1.9,12.9,0.091,-0.7,2.3,2015
15,23,24,24,CLE,Tyus Jones,Duke,7,439,7988,2634,759,1601,0.435,0.342,0.825,18.2,6,1.7,3.6,17.8,0.107,0.3,4.6,2015
15,24,25,25,MEM,Jarell Martin,LSU,4,184,2927,998,639,114,0.434,0.346,0.766,15.9,5.4,3.5,0.6,3.2,0.053,-4.3,-1.7,2015
15,25,26,26,SAS,Nikola Milutinov,,,,,,,,,,,,,,,,,,,2015
15,26,27,27,LAL,Larry Nance Jr.,Wyoming,7,387,9345,3144,2538,739,0.528,0.33,0.684,24.1,8.1,6.6,1.9,24.2,0.125,1.1,7.3,2015
15,27,28,28,BOS,R.J. Hunter,Georgia State University,4,45,395,133,46,19,0.371,0.295,0.818,8.8,3,1,0.4,0.4,0.051,-2,0,2015
15,28,29,29,BRK,Chris McCullough,Syracuse,3,59,532,194,112,15,0.426,0.306,0.548,9,3.3,1.9,0.3,0.6,0.054,-2.5,-0.1,2015
15,29,30,30,GSW,Kevon Looney,UCLA,7,348,5639,1631,1632,450,0.565,0.172,0.61,16.2,4.7,4.7,1.3,18.9,0.161,-0.4,2.3,2015
15,30,31,31,MIN,Cedi Osman,,5,311,7690,3116,1022,670,0.421,0.351,0.718,24.7,10,3.3,2.2,6.9,0.043,-2.5,-0.9,2015
15,31,32,32,HOU,Montrezl Harrell,Louisville,7,441,9557,5728,2365,608,0.618,0.118,0.66,21.7,13,5.4,1.4,39.5,0.198,2.9,11.8,2015
15,32,33,33,BOS,Jordan Mickey,LSU,3,64,482,152,128,17,0.449,0.118,0.605,7.5,2.4,2,0.3,0.5,0.05,-4.8,-0.3,2015
15,33,34,34,LAL,Anthony Brown,Stanford,3,41,762,161,103,28,0.328,0.286,0.85,18.6,3.9,2.5,0.7,-0.2,-0.016,-5.1,-0.6,2015
15,34,35,35,PHI,Willy Hernang�mez,,6,289,4367,2089,1681,308,0.537,0.314,0.691,15.1,7.2,5.8,1.1,13.5,0.149,0.2,2.5,2015
15,35,36,36,MIN,Rakeem Christmas,Syracuse,2,30,225,63,57,4,0.467,,0.724,7.5,2.1,1.9,0.1,0.5,0.105,-4.7,-0.2,2015
15,36,37,37,PHI,Richaun Holmes,Bowling Green,7,372,7861,3586,2152,401,0.606,0.256,0.745,21.1,9.6,5.8,1.1,26.6,0.162,0.5,4.9,2015
15,37,38,38,DET,Darrun Hilliard,Villanova,3,91,859,295,85,71,0.377,0.304,0.747,9.4,3.2,0.9,0.8,0.3,0.016,-4.7,-0.6,2015
15,38,39,39,CHO,Juan Pablo Vaulet,,,,,,,,,,,,,,,,,,,2015
15,39,40,40,MIA,Josh Richardson,Tennessee,7,421,12572,5044,1321,1131,0.427,0.362,0.834,29.9,12,3.1,2.7,22.9,0.088,-0.5,4.8,2015
15,40,41,41,BRK,Pat Connaughton,Notre Dame,7,406,7483,2367,1355,505,0.447,0.366,0.791,18.4,5.8,3.3,1.2,17.6,0.113,0,3.7,2015
15,41,42,42,UTA,Olivier Hanlan,Boston College,,,,,,,,,,,,,,,,,,2015
15,42,43,43,IND,Joe Young,Oregon,3,127,1077,429,130,119,0.393,0.296,0.768,8.5,3.4,1,0.9,0.4,0.016,-4.1,-0.6,2015
15,43,44,44,PHO,Andrew Harrison,Kentucky,3,145,2987,1012,287,399,0.373,0.294,0.779,20.6,7,2,2.8,3.2,0.051,-2.8,-0.6,2015
15,44,45,45,BOS,Marcus Thornton,William & Mary,,,,,,,,,,,,,,,,,,2015
15,45,46,46,MIL,Norman Powell,UCLA,7,419,9378,4732,1083,623,0.462,0.382,0.831,22.4,11.3,2.6,1.5,19.6,0.1,-0.2,4.3,2015
15,46,47,47,PHI,Art?ras Gudaitis,,,,,,,,,,,,,,,,,,,2015
15,47,48,48,OKC,Dakari Johnson,Kentucky,1,31,161,55,34,8,0.564,,0.55,5.2,1.8,1.1,0.3,0.6,0.178,-0.3,0.1,2015
15,48,49,49,WAS,Aaron White,Iowa,,,,,,,,,,,,,,,,,,2015
15,49,50,50,ATL,Marcus Eriksson,,,,,,,,,,,,,,,,,,,2015
15,50,51,51,ORL,Tyler Harvey,Eastern Washington,,,,,,,,,,,,,,,,,,2015
15,51,52,52,DAL,Satnam Singh,,,,,,,,,,,,,,,,,,,2015
15,52,53,53,CLE,Sir'Dominic Pointer,St. John's,,,,,,,,,,,,,,,,,,2015
15,53,54,54,UTA,Dani D�ez,,,,,,,,,,,,,,,,,,,2015
15,54,55,55,SAS,Cady Lalanne,UMass,,,,,,,,,,,,,,,,,,2015
15,55,56,56,NOP,Branden Dawson,Michigan State,1,6,29,5,4,0,0.4,,1,4.8,0.8,0.7,0,0,0.069,-5.7,0,2015
15,56,57,57,DEN,Nikola Radi?evi?,,,,,,,,,,,,,,,,,,,2015
15,57,58,58,PHI,J.P. Tokoto,UNC,,,,,,,,,,,,,,,,,,2015
15,58,59,59,ATL,Dimitrios Agravanis,,,,,,,,,,,,,,,,,,,2015
15,59,60,60,PHI,Luka Mitrovi?,,,,,,,,,,,,,,,,,,,2015
16,0,1,1,PHI,Ben Simmons,LSU,4,275,9326,4382,2217,2127,0.56,0.147,0.597,33.9,15.9,8.1,7.7,30.4,0.156,3.7,13.5,2016
16,1,2,2,LAL,Brandon Ingram,Duke,6,361,11853,6639,1847,1367,0.46,0.361,0.764,32.8,18.4,5.1,3.8,18,0.073,-0.4,4.9,2016
16,2,3,3,BOS,Jaylen Brown,California,6,387,11021,6247,1900,756,0.471,0.372,0.711,28.5,16.1,4.9,2,22.7,0.099,0,5.5,2016
16,3,4,4,PHO,Dragan Bender,,4,187,3755,1014,720,237,0.399,0.323,0.654,20.1,5.4,3.9,1.3,0.5,0.006,-3.9,-1.9,2016
16,4,5,5,MIN,Kris Dunn,Providence,5,231,5561,1889,766,950,0.42,0.305,0.727,24.1,8.2,3.3,4.1,3.7,0.032,-1.9,0.1,2016
16,5,6,6,NOP,Buddy Hield,Oklahoma,6,450,13065,7155,1915,1094,0.43,0.4,0.864,29,15.9,4.3,2.4,16.8,0.062,0.2,7.3,2016
16,6,7,7,DEN,Jamal Murray,Kentucky,5,345,10384,5639,1258,1322,0.446,0.367,0.878,30.1,16.3,3.6,3.8,20.8,0.096,0.3,6,2016
16,7,8,8,SAC,Marquese Chriss,Washington,6,281,5248,2167,1343,293,0.456,0.29,0.666,18.7,7.7,4.8,1,6.2,0.056,-2.3,-0.4,2016
16,8,9,9,TOR,Jakob Poeltl,Utah,6,400,7960,2822,2366,566,0.629,0.667,0.512,19.9,7.1,5.9,1.4,27.5,0.166,1.1,6.2,2016
16,9,10,10,MIL,Thon Maker,,5,263,3624,1216,726,161,0.435,0.327,0.68,13.8,4.6,2.8,0.6,6.6,0.087,-2.1,-0.1,2016
16,10,11,11,ORL,Domantas Sabonis,Gonzaga,6,409,11593,5835,3748,1460,0.534,0.32,0.727,28.3,14.3,9.2,3.6,34.6,0.143,1.8,11,2016
16,11,12,12,UTA,Taurean Prince,Baylor,6,352,8564,3706,1385,626,0.414,0.37,0.82,24.3,10.5,3.9,1.8,7.6,0.042,-1.8,0.4,2016
16,12,13,13,PHO,Georgios Papagiannis,,2,39,477,160,123,29,0.514,0,0.857,12.2,4.1,3.2,0.7,0.4,0.044,-3.9,-0.2,2016
16,13,14,14,CHI,Denzel Valentine,Michigan State,5,256,4817,1795,857,466,0.394,0.36,0.787,18.8,7,3.3,1.8,4.5,0.045,-1.8,0.2,2016
16,14,15,15,DEN,Juancho Hernangómez,,6,282,4362,1487,948,177,0.424,0.345,0.693,15.5,5.3,3.4,0.6,7.1,0.078,-2,0,2016
16,15,16,16,BOS,Guerschon Yabusele,,2,74,486,173,105,31,0.442,0.323,0.682,6.6,2.3,1.4,0.4,1.1,0.105,-1.9,0,2016
16,16,17,17,MEM,Wade Baldwin,Vanderbilt,3,56,579,174,69,78,0.355,0.25,0.776,10.3,3.1,1.2,1.4,-0.3,-0.028,-5.3,-0.5,2016
16,17,18,18,DET,Henry Ellenson,Marquette,5,83,787,342,206,49,0.371,0.336,0.773,9.5,4.1,2.5,0.6,0.4,0.023,-3.7,-0.3,2016
16,18,19,19,DEN,Malik Beasley,Florida State,6,319,6608,3285,779,390,0.43,0.383,0.808,20.7,10.3,2.4,1.2,9.3,0.068,-1.1,1.5,2016
16,19,20,20,IND,Caris LeVert,Michigan,6,303,8318,4444,1158,1197,0.436,0.333,0.737,27.5,14.7,3.8,4,11.6,0.067,-0.4,3.4,2016
16,20,21,21,ATL,DeAndre' Bembry,Saint Joseph's,6,291,5635,1750,945,530,0.475,0.283,0.611,19.4,6,3.2,1.8,4.4,0.038,-2.3,-0.4,2016
16,21,22,22,CHO,Malachi Richardson,Syracuse,3,70,625,198,70,24,0.358,0.301,0.783,8.9,2.8,1,0.3,-0.1,-0.009,-6.1,-0.7,2016
16,22,23,23,BOS,Ante Žižić,,3,113,1517,674,446,64,0.581,,0.711,13.4,6,3.9,0.6,3.5,0.11,-2.6,-0.2,2016
16,23,24,24,PHI,Timothé Luwawu-Cabarrot,,6,313,5024,1859,623,279,0.39,0.334,0.828,16.1,5.9,2,0.9,4.3,0.041,-4.1,-2.6,2016
16,24,25,25,LAC,Brice Johnson,UNC,2,21,107,47,34,3,0.449,0,0.6,5.1,2.2,1.6,0.1,0.1,0.062,-0.6,0,2016
16,25,26,26,PHI,Furkan Korkmaz,,5,243,4638,1966,555,336,0.406,0.358,0.769,19.1,8.1,2.3,1.4,7.2,0.074,-1.6,0.4,2016
16,26,27,27,TOR,Pascal Siakam,New Mexico State,6,381,11037,5779,2352,1131,0.487,0.326,0.775,29,15.2,6.2,3,30.1,0.131,1.4,9.5,2016
16,27,28,28,PHO,Skal Labissière,Kentucky,4,148,2595,1069,662,152,0.492,0.353,0.748,17.5,7.2,4.5,1,4.4,0.081,-2.3,-0.2,2016
16,28,29,29,SAS,Dejounte Murray,Washington,5,307,7794,3672,1817,1428,0.455,0.328,0.761,25.4,12,5.9,4.7,15,0.093,1.5,6.9,2016
16,29,30,30,GSW,Damian Jones,Vanderbilt,6,185,2653,926,600,139,0.662,0.267,0.699,14.3,5,3.2,0.8,7.8,0.141,-1.3,0.5,2016
16,30,31,31,BOS,Deyonta Davis,Michigan State,3,107,1299,454,346,47,0.599,0,0.635,12.1,4.2,3.2,0.4,3.6,0.131,-2.1,0,2016
16,31,32,32,LAL,Ivica Zubac,,6,343,6428,2811,2191,375,0.6,0.1,0.754,18.7,8.2,6.4,1.1,24.7,0.184,0.7,4.4,2016
16,32,33,33,LAC,Cheick Diallo,Kansas,5,183,2186,958,759,78,0.596,0.286,0.774,11.9,5.2,4.1,0.4,6.3,0.139,-1.4,0.3,2016
16,33,34,34,PHO,Tyler Ulis,Kentucky,3,133,2782,998,223,537,0.403,0.28,0.808,20.9,7.5,1.7,4,0.5,0.008,-3.6,-1.1,2016
16,34,35,35,BOS,Rade Zagorac,,,,,,,,,,,,,,,,,,,2016
16,35,36,36,MIL,Malcolm Brogdon,Virginia,6,328,9881,5057,1378,1567,0.464,0.379,0.882,30.1,15.4,4.2,4.8,24.4,0.118,1.2,7.9,2016
16,36,37,37,HOU,Chinanu Onuaku,Louisville,2,6,74,18,14,4,0.583,,1,12.3,3,2.3,0.7,0.1,0.043,-5.4,-0.1,2016
16,37,38,38,MIL,Patrick McCaw,UNLV,5,199,3373,760,319,270,0.42,0.305,0.785,16.9,3.8,1.6,1.4,4.4,0.062,-2.8,-0.6,2016
16,38,39,39,NOP,David Michineau,,,,,,,,,,,,,,,,,,,2016
16,39,40,40,NOP,Diamond Stone,Maryland,1,7,24,10,6,0,0.231,,1,3.4,1.4,0.9,0,-0.1,-0.211,-20.8,-0.1,2016
16,40,41,41,ORL,Stephen Zimmerman,UNLV,1,19,108,23,35,4,0.323,,0.6,5.7,1.2,1.8,0.2,0,-0.005,-8.3,-0.2,2016
16,41,42,42,UTA,Isaiah Whitehead,Seton Hall,2,89,1823,643,210,212,0.411,0.305,0.788,20.5,7.2,2.4,2.4,-0.9,-0.025,-5,-1.4,2016
16,42,43,43,HOU,Zhou Qi,,2,19,125,24,22,2,0.212,0.105,0.667,6.6,1.3,1.2,0.1,-0.2,-0.093,-9.6,-0.2,2016
16,43,44,44,ATL,Isaïa Cordinier,,,,,,,,,,,,,,,,,,,2016
16,44,45,45,BOS,Demetrius Jackson,Notre Dame,3,26,136,48,19,17,0.486,0.286,0.667,5.2,1.8,0.7,0.7,0.2,0.087,-0.5,0.1,2016
16,45,46,46,DAL,A.J. Hammons,Purdue,1,22,163,48,36,4,0.405,0.5,0.45,7.4,2.2,1.6,0.2,0,-0.001,-6.6,-0.2,2016
16,46,47,47,ORL,Jake Layman,Maryland,6,233,3041,1142,405,125,0.459,0.297,0.72,13.1,4.9,1.7,0.5,3.7,0.058,-2.3,-0.2,2016
16,47,48,48,CHI,Paul Zipser,,2,98,1667,458,256,82,0.371,0.335,0.769,17,4.7,2.6,0.8,0,-0.001,-5.2,-1.4,2016
16,48,49,49,DET,Michael Gbinije,Syracuse,1,9,32,4,3,2,0.1,0,1,3.6,0.4,0.3,0.2,-0.1,-0.136,-12.1,-0.1,2016
16,49,50,50,IND,Georges Niang,Iowa State,6,286,4034,1682,567,229,0.435,0.402,0.865,14.1,5.9,2,0.8,7.4,0.088,-1.2,0.8,2016
16,50,51,51,BOS,Ben Bentil,Providence,1,3,10,0,2,0,0,0,,3.3,0,0.7,0,-0.1,-0.473,-25.9,-0.1,2016
16,51,52,52,UTA,Joel Bolomboy,Weber State,2,18,91,31,27,2,0.545,0.2,0.5,5.1,1.7,1.5,0.1,0.3,0.132,-0.1,0,2016
16,52,53,53,DEN,Petr Cornelie,,1,13,38,14,14,3,0.333,0.125,0.75,2.9,1.1,1.1,0.2,0,-0.006,-8.7,-0.1,2016
16,53,54,54,ATL,Kay Felder,Oakland,2,58,526,223,59,78,0.364,0.268,0.754,9.1,3.8,1,1.3,-0.4,-0.041,-4.7,-0.4,2016
16,54,55,55,BRK,Marcus Paige,UNC,1,5,28,12,4,3,0.286,0.25,1,5.6,2.4,0.8,0.6,0,-0.006,-8.8,0,2016
16,55,56,56,DEN,Daniel Hamilton,UConn,2,25,232,69,52,30,0.394,0.357,0.5,9.3,2.8,2.1,1.2,0,0,-3.3,-0.1,2016
