,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
40,40,SAC,Justin James,Wyoming,2,72,542,228,62,40,0.446,0.343,0.544,7.5,3.2,0.9,0.6,0.3,0.024,-3.1,-0.2
41,41,GSW,Eric Paschall,Villanova,3,145,2940,1476,494,206,0.495,0.326,0.755,20.3,10.2,3.4,1.4,4.5,0.074,-2.3,-0.2
42,42,PHI,Admiral Schofield,Tennessee,2,60,648,182,96,31,0.414,0.32,0.682,10.8,3,1.6,0.5,0.3,0.025,-5.3,-0.5
43,43,MIN,Jaylen Nowell,Washington,3,101,1555,771,194,172,0.437,0.326,0.805,15.4,7.6,1.9,1.7,2.7,0.084,-1.3,0.3
44,44,MIA,Bol Bol,Oregon,3,53,328,142,63,18,0.478,0.378,0.667,6.2,2.7,1.2,0.3,0.2,0.033,-3,-0.1
45,45,DET,Isaiah Roby,Nebraska,3,90,1876,739,447,134,0.491,0.331,0.736,20.8,8.2,5,1.5,2.6,0.066,-2.6,-0.3
46,46,ORL,Talen Horton-Tucker,Iowa State,3,116,2558,1047,324,307,0.44,0.281,0.78,22.1,9,2.8,2.6,3,0.057,-2.3,-0.2
47,47,SAC,Ignas Brazdeikis,Michigan,3,51,556,189,86,42,0.378,0.315,0.765,10.9,3.7,1.7,0.8,0.1,0.007,-5.4,-0.5
48,48,LAC,Terance Mann,Florida State,3,172,3480,1250,638,314,0.493,0.384,0.775,20.2,7.3,3.7,1.8,8.9,0.123,-0.6,1.3
49,49,SAS,Quinndary Weatherspoon,Mississippi State,3,36,232,72,24,21,0.435,0.167,0.8,6.4,2,0.7,0.6,0,0.002,-6,-0.2
50,50,IND,Jarrell Brantley,College of Charleston,2,37,234,88,47,26,0.438,0.366,0.75,6.3,2.4,1.3,0.7,0.5,0.099,-0.6,0.1
51,51,BOS,Tremont Waters,LSU,3,40,407,149,37,85,0.354,0.296,0.96,10.2,3.7,0.9,2.1,0.1,0.011,-3,-0.1
52,52,CHO,Jalen McDaniels,San Diego State,3,102,1882,692,370,109,0.477,0.353,0.709,18.5,6.8,3.6,1.1,2.9,0.073,-2.9,-0.4
53,53,UTA,Justin Wright-Foreman,Hofstra,1,4,45,19,5,7,0.35,0.2,0.75,11.3,4.8,1.3,1.8,0,-0.008,-9,-0.1
54,54,PHI,Marial Shayok,Iowa State,1,4,28,11,7,1,0.25,0.333,0.75,7,2.8,1.8,0.3,-0.1,-0.13,-13,-0.1
55,55,NYK,Kyle Guy,Virginia,3,50,423,165,49,50,0.37,0.318,0.75,8.5,3.3,1,1,0.1,0.012,-4.7,-0.3
56,56,LAC,Jaylen Hands,UCLA,,,,,,,,,,,,,,,,,
57,57,NOP,Jordan Bone,Tennessee,2,24,249,68,28,26,0.378,0.286,,10.4,2.8,1.2,1.1,0.1,0.01,-5.9,-0.2
58,58,GSW,Miye Oni,Yale,3,80,672,145,108,37,0.35,0.33,0.75,8.4,1.8,1.4,0.5,1,0.07,-2.5,-0.1
59,59,TOR,Dewan Hernandez,Miami (FL),1,6,28,14,14,3,0.357,0.5,0.6,4.7,2.3,2.3,0.5,0,0.043,-9.6,-0.1
60,60,SAC,Vanja Marinković,,,,,,,,,,,,,,,,,,
