PLAYER,POS,LANE_AGILITY_TIME,SHUTTLE_RUN,THREE_QUARTER_SPRINT,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,MAX_BENCH_PRESS,YEAR
Bobby Brown,PG,11.27,-,3.25,32.50,41.00,3.00,2007
Russell Carter,SG,11.61,-,3.29,33.00,38.50,25.00,2007
Coleman Collins,PF,11.47,-,-,30.00,35.00,21.00,2007
Mike Conley,PG,11.63,-,3.09,35.50,40.50,13.00,2007
Daequan Cook,SG,11.12,-,3.22,30.00,34.50,4.00,2007
Ryvon Covile,C-PF,12.52,-,3.37,25.00,30.50,19.00,2007
Javaris Crittenton,PG,11.60,-,3.32,32.50,38.00,11.00,2007
Jermareo Davidson,PF,12.63,-,3.53,27.00,30.00,7.00,2007
Justin Doellman,PF,-,-,-,-,-,19.00,2007
Zabian Dowdell,PG,11.13,-,3.29,30.00,33.50,3.00,2007
Jared Dudley,SF,11.32,-,3.45,28.00,32.00,14.00,2007
Kevin Durant,SF-PF,12.33,-,3.45,26.00,33.50,0.00,2007
Rashaun Freeman,PF,11.43,-,3.41,28.00,32.00,20.00,2007
Aaron Gray,C,12.07,-,3.70,27.00,32.50,17.00,2007
Caleb Green,PF,11.72,-,3.46,28.50,36.00,9.00,2007
Jeff Green,SF,12.00,-,3.34,33.50,38.00,17.00,2007
Taurean Green,PG,11.30,-,3.26,29.00,32.50,8.00,2007
Spencer Hawes,PF,11.88,-,3.51,26.00,29.00,9.00,2007
Brandon Heath,PG,11.39,-,3.28,32.00,36.00,11.00,2007
Herbert Hill,C,12.31,-,3.39,30.50,34.00,15.00,2007
Al Horford,PF,12.15,-,3.37,31.00,35.50,20.00,2007
Quinton Hosley,SF-SG,12.47,-,3.32,28.50,34.00,12.00,2007
James Hughes,C,13.31,-,3.37,31.00,33.00,8.00,2007
Jeremy Hunt,SG,12.11,-,3.29,30.50,33.00,10.00,2007
Ekene Ibekwe,PF,11.00,-,3.28,34.50,39.00,10.00,2007
Dominic James,PG,10.94,-,3.11,33.50,38.50,14.00,2007
Trey Johnson,SG,11.78,-,3.31,26.50,35.00,18.00,2007
Rashad Jones-Jennings,PF,12.18,-,3.29,25.00,30.00,20.00,2007
Jared Jordan,PG,11.02,-,3.39,24.50,28.50,6.00,2007
Coby Karl,SG-PG,11.57,-,3.41,32.00,34.50,9.00,2007
Antanas Kavaliauskas,PF,11.19,-,3.42,25.50,30.00,19.00,2007
Carl Landry,PF,11.35,-,3.29,31.50,36.50,21.00,2007
Stephane Lasme,PF,11.73,-,3.22,29.50,36.00,17.00,2007
Acie Law,PG,11.00,-,3.22,29.00,34.00,8.00,2007
Marko Lekic,C,11.96,-,3.43,24.00,30.50,19.00,2007
Ron Lewis,SG,11.59,-,3.22,33.00,38.00,16.00,2007
Cartier Martin,SF,12.10,-,3.43,27.00,29.50,11.00,2007
Dominic McGuire,SF,10.95,-,3.25,28.50,34.50,12.00,2007
Josh McRoberts,PF,11.70,-,3.47,27.50,31.50,12.00,2007
Sammy Mejia,SG,11.87,-,3.49,27.00,31.50,7.00,2007
Brad Newley,SG,11.77,-,3.29,29.50,31.50,3.00,2007
Demetris Nichols,SF,10.39,-,3.38,28.50,32.50,16.00,2007
Joakim Noah,PF,11.79,-,3.47,32.50,37.50,12.00,2007
Greg Oden,C,11.67,-,3.27,32.00,34.00,-,2007
Ivan Radenovic,PF,11.61,-,3.60,23.00,28.00,7.00,2007
JR Reynolds,PG,11.69,-,3.24,27.50,34.50,15.00,2007
Chris Richard,PF,11.39,-,3.29,26.50,30.50,15.00,2007
Dustin Salisbery,SG,11.07,-,3.12,34.00,38.00,11.00,2007
Blake Schilb,SG,11.63,-,3.36,26.50,33.50,11.00,2007
Renaldas Seibutis,SG,11.33,-,3.39,24.00,32.50,1.00,2007
Ramon Sessions,PG,11.65,-,3.27,29.50,33.50,8.00,2007
Mustafa Shakur,PG,11.82,-,3.27,28.50,35.00,11.00,2007
Jason Smith,PF,10.96,-,3.29,33.50,37.50,15.00,2007
DJ Strawberry,SG,10.87,-,3.14,28.50,35.00,21.00,2007
Rodney Stuckey,SG-PG,11.34,-,3.11,30.50,35.00,14.00,2007
Curtis Sumpter,SF,11.30,-,3.22,27.50,32.50,12.00,2007
Yue Sun,SF,10.68,-,3.45,29.00,34.00,9.00,2007
Jamaal Tatum,PG,11.51,-,3.22,28.50,33.00,7.00,2007
Reyshawn Terry,SF,11.76,-,3.26,31.00,37.50,18.00,2007
Al Thornton,SF,11.96,-,3.16,35.00,41.00,9.00,2007
Anthony Tolliver,PF,11.49,-,3.29,28.50,30.00,21.00,2007
Ali Traore,C-PF,12.16,-,3.52,25.00,29.00,11.00,2007
Kyle Visser,C,12.60,-,3.39,26.00,29.00,18.00,2007
Darryl Watkins,C,11.65,-,3.56,26.50,31.00,14.00,2007
Major Wingate,C,12.14,-,3.47,27.50,30.50,15.00,2007
DaShaun Wood,PG,11.40,-,3.23,31.50,34.50,13.00,2007
Julian Wright,SF-PF,11.48,-,3.36,28.50,33.50,2.00,2007
Brandan Wright,PF,11.76,-,3.31,30.50,35.50,2.00,2007
Avis Wyatt,PF,11.46,-,3.23,27.50,32.00,12.00,2007
Jianlian Yi,,-,-,-,-,-,-,2007
Nick Young,SG-SF,11.00,-,3.25,39.50,40.50,6.00,2007
Thaddeus Young,SF,11.06,-,3.19,34.50,37.00,13.00,2007
Joe Alexander,SF-PF,11.33,-,2.99,32.50,38.50,24.00,2008
Darrell Arthur,PF,12.18,-,3.14,28.50,30.00,12.00,2008
D.J. Augustin,PG,11.27,-,3.07,28.50,35.00,2.00,2008
Jerryd Bayless,PG-SG,11.26,-,3.07,31.00,38.00,10.00,2008
Michael Beasley,PF-SF,11.06,-,3.24,30.00,35.00,19.00,2008
Ramel Bradley,PG-SG,10.68,-,3.24,24.50,29.50,9.00,2008
Tyrone Brazelton,PG,11.59,-,3.25,30.00,34.00,8.00,2008
Takais Brown,PF,12.47,-,3.25,29.00,31.00,22.00,2008
Keith Brumbaugh,SF-PF,11.65,-,3.28,26.00,27.00,2.00,2008
Stanley Burrell,PG,11.19,-,3.19,29.50,34.50,21.00,2008
Brian Butch,C-PF,11.87,-,3.52,24.00,26.50,9.00,2008
Jamar Butler,PG,-,-,-,-,-,15.00,2008
Pat Calathes,SF-PF,-,-,-,-,-,7.00,2008
Joe Crawford,SG,11.67,-,3.22,31.00,36.00,13.00,2008
Chris Daniels,C-PF,12.72,-,3.56,26.00,28.50,11.00,2008
Joey Dorsey,PF-C,11.84,-,3.20,27.50,33.00,19.00,2008
Marcus Dove,SF-PF,11.59,-,3.26,27.50,33.50,10.00,2008
Josh Duncan,PF,12.47,-,3.26,28.00,32.00,26.00,2008
Frank Elegar,PF,11.86,-,3.17,33.50,37.50,11.00,2008
Patrick Ewing Jr.,SF-PF,11.77,-,3.43,35.00,42.00,2.00,2008
Gary Forbes,SG,11.45,-,3.25,27.50,33.50,13.00,2008
Shan Foster,SG,12.30,-,3.24,30.00,33.00,10.00,2008
J.R. Giddens,SG,-,-,-,-,-,10.00,2008
James Gist,PF,11.37,-,3.14,30.50,35.00,5.00,2008
Vladimir Golubovic,C,12.40,-,3.33,21.50,27.00,15.00,2008
Eric Gordon,SG,10.81,-,3.01,32.00,40.00,15.00,2008
Kentrell Gransberry,C,12.16,-,3.32,24.50,27.50,18.00,2008
Donte Greene,SF-PF,11.21,-,3.20,27.50,31.50,2.00,2008
Malik Hairston,SG,11.33,-,3.08,30.50,38.00,13.00,2008
DeVon Hardin,C-PF,11.49,-,3.33,29.50,32.00,20.00,2008
Richard Hendrix,PF,10.62,-,3.27,26.50,28.00,13.00,2008
George Hill,PG,12.20,-,3.07,34.00,37.50,9.00,2008
Kyle Hines,SF-PF,12.17,-,3.40,28.50,33.00,16.00,2008
Jiri Hubalek,C-PF,12.26,-,3.54,20.50,26.00,2.00,2008
Lester Hudson,PG,11.15,-,3.16,30.50,36.00,12.00,2008
Othello Hunter,PF-SF,11.51,-,3.18,28.00,34.50,7.00,2008
Darnell Jackson,PF,11.75,-,3.26,27.00,31.00,11.00,2008
Shawn James,PF,-,-,-,-,-,6.00,2008
Davon Jefferson,SF,12.02,-,3.36,27.00,32.00,2.00,2008
Joseph Jones,PF,11.61,-,3.33,25.50,31.00,16.00,2008
DeAndre Jordan,C,12.30,-,3.27,26.00,30.50,8.00,2008
Sasha Kaun,C-PF,12.06,-,3.20,29.00,32.00,13.00,2008
Marcelus Kemp,SG,11.79,-,3.39,26.00,30.00,9.00,2008
Maarty Leunen,SF,11.57,-,3.36,29.50,34.50,14.00,2008
Longar Longar,C,-,-,-,-,-,14.00,2008
Brook Lopez,C,12.77,-,3.57,27.50,30.50,7.00,2008
Kevin Love,PF,11.17,-,3.22,29.50,35.00,18.00,2008
Aleks Maric,C,11.76,-,3.35,23.00,28.00,15.00,2008
O.J. Mayo,SG-PG,11.04,-,3.14,30.50,41.00,7.00,2008
James Mays,PF,11.23,-,3.19,29.50,35.00,13.00,2008
Luc Mbah a Moute,SF,11.71,-,3.17,32.00,38.50,11.00,2008
JaVale McGee,C-PF,12.75,-,3.25,27.00,32.50,7.00,2008
Drew Neitzel,PG,11.19,-,3.20,25.50,32.00,10.00,2008
DeMarcus Nelson,PG-SG,10.54,-,3.13,34.50,38.50,19.00,2008
David Padgett,C-PF,12.45,-,3.45,24.00,28.00,17.00,2008
Jeremy Pargo,PG,10.65,-,3.07,32.00,37.00,7.00,2008
Trent Plaisted,PF,11.32,-,3.17,30.50,35.50,14.00,2008
Quan Prowell,SF-PF,11.79,-,3.14,32.00,36.00,16.00,2008
Shaun Pruitt,C-PF,11.30,-,3.40,27.00,32.50,10.00,2008
Anthony Randolph,PF-SF,11.86,-,3.26,29.00,35.00,7.00,2008
Charles Rhodes,PF,11.51,-,3.13,26.50,33.50,14.00,2008
John Riek,C,-,-,-,-,-,-,2008
Brian Roberts,PG,10.65,-,3.05,31.50,36.50,10.00,2008
Russell Robinson,PG,11.30,-,3.15,25.00,31.50,8.00,2008
Richard Roby,SG-SF,-,-,-,-,-,-,2008
Derrick Rose,PG,11.69,-,3.05,34.50,40.00,10.00,2008
Sean Singletary,PG,-,-,-,26.00,-,18.00,2008
Ronald Steele,PG,11.08,-,3.26,25.00,29.50,5.00,2008
Mike Taylor,SG-PG,10.98,-,3.08,31.00,39.00,2.00,2008
Bryce Taylor,SG,11.08,-,3.19,34.50,41.00,16.00,2008
Mark Tyndale,SG-SF,12.52,-,3.14,27.00,33.50,5.00,2008
Robert Vaden,SG,11.97,-,3.40,26.00,29.50,10.00,2008
Deron Washington,SF,11.03,-,3.09,34.00,40.00,7.00,2008
Sonny Weems,SG-SF,10.58,-,2.96,29.00,36.50,12.00,2008
Russell Westbrook,PG,10.98,-,3.08,30.00,36.50,12.00,2008
Reggie Williams,SG,11.32,-,3.07,31.50,36.50,15.00,2008
Jeff Adrien,PF,11.34,-,3.32,27.50,31.50,16.00,2009
Jeff Ayres,PF,11.98,-,3.14,31.00,35.00,15.00,2009
Rodrigue Beaubois,PG,10.49,-,3.15,29.50,39.00,3.00,2009
DeJuan Blair,PF,11.50,-,3.45,26.00,33.00,18.00,2009
Derrick Brown,SF-PF,11.26,-,3.13,30.50,35.50,20.00,2009
Chase Budinger,SF-SG,11.08,-,3.24,29.50,38.50,10.00,2009
DeMarre Carroll,PF-SF,-,-,-,-,-,-,2009
Omri Casspi,SF,11.15,-,3.28,25.50,32.50,2.00,2009
Dionte Christmas,SG,10.83,-,3.21,27.00,33.50,3.00,2009
Earl Clark,SF-PF,11.17,-,3.35,28.50,33.00,5.00,2009
Darren Collison,PG,10.45,-,3.10,30.50,33.50,9.00,2009
Dante Cunningham,PF,11.18,-,3.26,28.00,35.00,18.00,2009
Stephen Curry,PG-SG,11.07,-,3.28,29.50,35.50,10.00,2009
Austin Daye,SF-PF,12.11,-,3.55,25.00,28.00,0.00,2009
DeMar DeRozan,SG-SF,11.88,-,3.31,29.00,38.50,5.00,2009
Toney Douglas,PG,10.63,-,3.03,28.00,32.50,15.00,2009
Wayne Ellington,SG,11.14,-,3.20,31.50,38.00,13.00,2009
Tyreke Evans,PG-SG,11.81,-,3.17,28.50,34.00,7.00,2009
Jonny Flynn,PG,10.86,-,3.23,33.00,40.00,10.00,2009
Taj Gibson,PF,11.56,-,3.41,25.50,30.00,12.00,2009
Danny Green,SG-SF,11.30,-,3.30,29.00,33.00,15.00,2009
Blake Griffin,PF,10.95,-,3.28,32.00,35.50,22.00,2009
Tyler Hansbrough,PF,11.12,-,3.27,27.50,34.00,18.00,2009
James Harden,SG,11.10,-,3.13,31.50,37.00,17.00,2009
Gerald Henderson,SG-SF,11.17,-,3.14,31.50,35.00,8.00,2009
Josh Heytvelt,PF-C,11.67,-,3.38,28.50,34.00,15.00,2009
Jordan Hill,PF-C,12.23,-,3.30,31.00,35.00,11.00,2009
Jrue Holiday,PG-SG,10.64,-,3.21,28.50,34.00,6.00,2009
Joe Ingles,SF,10.66,-,3.30,26.00,31.00,3.00,2009
James Johnson,SF-PF,11.21,-,3.23,30.50,35.00,18.00,2009
Ty Lawson,PG,10.98,-,3.12,29.00,36.50,14.00,2009
Eric Maynor,PG,10.78,-,3.19,28.50,31.50,8.00,2009
Jack McClinton,SG-PG,10.44,-,3.21,30.00,36.50,13.00,2009
Jerel McNeal,SG,10.61,-,3.25,31.50,36.50,10.00,2009
Jodie Meeks,SG,10.96,-,3.10,28.50,37.00,14.00,2009
Patty Mills,PG,10.87,-,3.10,27.50,33.00,8.00,2009
Byron Mullens,C,11.10,-,3.45,28.50,32.50,10.00,2009
A.J. Price,PG,10.99,-,3.22,26.00,31.00,11.00,2009
Tyler Smith,SF,10.69,-,3.24,29.00,33.50,10.00,2009
DaJuan Summers,SF,10.94,-,3.17,29.50,34.50,15.00,2009
Jermaine Taylor,SG,11.54,-,3.32,34.00,37.50,16.00,2009
Jeff Teague,PG,11.05,-,3.18,30.50,36.50,13.00,2009
Hasheem Thabeet,C,-,-,-,-,-,-,2009
Marcus Thornton,SG,10.73,-,3.28,31.00,33.00,14.00,2009
Terrence Williams,SG-SF,11.15,-,3.18,30.50,37.00,9.00,2009
Sam Young,SF-SG,11.47,-,3.45,27.50,33.00,-,2009
Solomon Alabi,C,13.20,-,3.68,22.50,26.00,10.00,2010
Cole Aldrich,C,11.48,-,3.35,23.00,28.00,10.00,2010
Al-Farouq Aminu,SF,11.29,-,3.30,27.00,33.50,13.00,2010
James Anderson,SF,11.86,-,3.19,30.00,35.50,14.00,2010
Luke Babbitt,SF-PF,10.98,-,3.40,29.50,37.50,15.00,2010
Eric Bledsoe,PG,-,-,-,-,-,9.00,2010
Trevor Booker,PF,11.15,-,3.10,31.00,36.00,22.00,2010
Craig Brackins,PF-SF,11.65,-,3.39,26.00,35.00,6.00,2010
Avery Bradley,SG-PG,11.47,-,3.14,31.50,37.50,2.00,2010
Derrick Caracter,PF,12.78,-,3.61,25.00,30.50,22.00,2010
Sherron Collins,PG,12.31,-,3.24,27.50,33.00,-,2010
DeMarcus Cousins,C,11.40,-,3.55,23.50,27.50,-,2010
Jordan Crawford,SG,11.03,-,3.37,31.50,34.50,7.00,2010
Ed Davis,PF,11.70,-,3.21,31.00,36.00,-,2010
Devin Ebanks,SF,11.69,-,3.44,23.50,32.00,6.00,2010
Derrick Favors,PF,11.74,-,3.25,31.50,35.50,14.00,2010
Keith Gallon,PF-C,13.44,-,3.70,23.50,28.50,14.00,2010
Charles Garcia,SF,11.65,-,3.23,24.50,30.50,2.00,2010
Paul George,SF,-,-,-,-,-,4.00,2010
Luke Harangody,PF,11.83,-,3.41,24.00,28.50,23.00,2010
Manny Harris,SG,-,-,-,-,-,11.00,2010
Lazar Hayward,SG-SF,10.87,-,3.31,31.00,36.00,15.00,2010
Gordon Hayward,SF,11.73,-,3.22,30.50,34.50,10.00,2010
Xavier Henry,SG,11.10,-,3.18,28.50,36.50,8.00,2010
Darington Hobson,SG-SF,11.68,-,3.25,29.00,34.00,-,2010
