,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Markelle Fultz,Washington,5,115,2922,1249,381,532,0.45,0.265,0.696,25.4,10.9,3.3,4.6,3.2,0.053,-2.1,-0.1
2,2,LAL,Lonzo Ball,UCLA,5,252,8187,2995,1447,1563,0.4,0.364,0.578,32.5,11.9,5.7,6.2,11.6,0.068,1.1,6.3
3,3,BOS,Jayson Tatum,Duke,5,350,11659,7183,2317,1030,0.453,0.379,0.843,33.3,20.5,6.6,2.9,32.1,0.132,2.4,13.1
4,4,PHO,Josh Jackson,Kansas,5,282,6604,3224,1141,529,0.416,0.293,0.679,23.4,11.4,4,1.9,-1.7,-0.012,-3.8,-3
5,5,SAC,De'Aaron Fox,Kentucky,5,316,10087,5952,1112,1958,0.46,0.315,0.724,31.9,18.8,3.5,6.2,15.5,0.074,0,5.1
6,6,ORL,Jonathan Isaac,Florida State,3,136,3512,1269,741,146,0.435,0.33,0.797,25.8,9.3,5.4,1.1,6.7,0.091,0.2,2
7,7,MIN,Lauri Markkanen,Arizona,5,263,7787,4022,1782,335,0.437,0.363,0.847,29.6,15.3,6.8,1.3,14.8,0.091,-0.1,3.6
8,8,NYK,Frank Ntilikina,,5,258,4708,1356,479,616,0.368,0.33,0.774,18.2,5.3,1.9,2.4,0.3,0.003,-4.2,-2.6
9,9,DAL,Dennis Smith Jr.,NC State,5,216,5152,2317,636,917,0.402,0.312,0.652,23.9,10.7,2.9,4.2,-0.4,-0.003,-2.3,-0.4
10,10,SAC,Zach Collins,Gonzaga,4,163,2836,929,660,157,0.445,0.322,0.72,17.4,5.7,4,1,3.9,0.067,-2.7,-0.5
11,11,CHO,Malik Monk,Kentucky,5,289,5684,2838,644,551,0.417,0.352,0.827,19.7,9.8,2.2,1.9,4.7,0.04,-2.1,-0.2
12,12,DET,Luke Kennard,Duke,5,281,6544,2760,805,575,0.448,0.423,0.862,23.3,9.8,2.9,2,13.3,0.098,-0.3,2.8
13,13,DEN,Donovan Mitchell,Louisville,5,327,11020,7781,1351,1443,0.442,0.362,0.833,33.7,23.8,4.1,4.4,27.7,0.121,2.4,12.4
14,14,MIA,Bam Adebayo,Kentucky,5,326,9143,4297,2687,1141,0.555,0.143,0.739,28,13.2,8.2,3.5,33.1,0.174,2.9,11.3
15,15,POR,Justin Jackson,UNC,5,255,4779,1656,637,276,0.426,0.321,0.799,18.7,6.5,2.5,1.1,5.3,0.053,-2.8,-1
16,16,CHI,Justin Patton,Creighton,4,22,296,86,60,19,0.404,0.25,0.667,13.5,3.9,2.7,0.9,0.4,0.066,-2.8,-0.1
17,17,MIL,D.J. Wilson,Michigan,5,146,1803,647,452,108,0.419,0.327,0.618,12.3,4.4,3.1,0.7,2.8,0.075,-2.6,-0.3
18,18,IND,T.J. Leaf,UCLA,4,146,1238,477,283,43,0.492,0.341,0.585,8.5,3.3,1.9,0.3,2.7,0.104,-1.8,0.1
19,19,ATL,John Collins,Wake Forest,5,289,8389,4800,2416,451,0.562,0.382,0.78,29,16.6,8.4,1.6,28.3,0.162,1.5,7.5
20,20,POR,Harry Giles,Duke,3,142,1835,832,543,174,0.511,0.258,0.671,12.9,5.9,3.8,1.2,3,0.079,-2.4,-0.2
21,21,OKC,Terrance Ferguson,,4,204,4000,924,263,144,0.404,0.334,0.753,19.6,4.5,1.3,0.7,4.4,0.053,-4,-2.1
22,22,BRK,Jarrett Allen,Texas,5,339,9017,3919,2955,467,0.625,0.189,0.699,26.6,11.6,8.7,1.4,35.2,0.187,1.7,8.5
23,23,TOR,OG Anunoby,Indiana,5,295,7873,3056,1213,414,0.469,0.369,0.706,26.7,10.4,4.1,1.4,16.8,0.102,0,4
24,24,UTA,Tyler Lydon,Syracuse,2,26,96,23,18,6,0.5,0.4,0.333,3.7,0.9,0.7,0.2,0.2,0.084,-4.3,-0.1
25,25,ORL,Anžejs Pasečņiks,,2,28,443,156,108,19,0.521,0,0.586,15.8,5.6,3.9,0.7,0.4,0.038,-6.2,-0.5
26,26,POR,Caleb Swanigan,Purdue,3,75,655,169,218,56,0.438,0.118,0.614,8.7,2.3,2.9,0.7,-0.2,-0.015,-6.2,-0.7
27,27,BRK,Kyle Kuzma,Utah,5,334,10139,5194,2068,711,0.449,0.34,0.725,30.4,15.6,6.2,2.1,14.8,0.07,-0.9,2.7
28,28,LAL,Tony Bradley,UNC,5,159,1918,752,702,85,0.636,0.429,0.675,12.1,4.7,4.4,0.5,7.4,0.184,0.3,1.1
29,29,SAS,Derrick White,Colorado,5,246,6331,2847,806,942,0.444,0.34,0.835,25.7,11.6,3.3,3.8,14.2,0.107,1.3,5.2
30,30,UTA,Josh Hart,Villanova,5,289,7845,2764,1662,583,0.447,0.345,0.736,27.1,9.6,5.8,2,15.2,0.093,-0.5,3.1
31,31,CHO,Frank Jackson,Duke,4,204,3687,1727,372,208,0.425,0.338,0.774,18.1,8.5,1.8,1,2.3,0.03,-3.9,-1.8
32,32,PHO,Davon Reed,Miami (FL),3,63,696,198,120,46,0.398,0.379,0.737,11,3.1,1.9,0.7,0.9,0.06,-2.5,-0.1
33,33,ORL,Wes Iwundu,Kansas State,5,226,3827,989,555,208,0.408,0.292,0.798,16.9,4.4,2.5,0.9,4.2,0.053,-3.9,-1.8
34,34,SAC,Frank Mason III,Kansas,4,103,1616,695,204,272,0.396,0.301,0.755,15.7,6.7,2,2.6,1.2,0.035,-2.6,-0.3
35,35,ORL,Ivan Rabb,California,2,85,1237,485,364,86,0.555,0.2,0.743,14.6,5.7,4.3,1,3.2,0.125,-1.7,0.1
36,36,PHI,Jonah Bolden,,2,51,686,217,174,40,0.486,0.34,0.484,13.5,4.3,3.4,0.8,1.4,0.098,-1.3,0.1
37,37,BOS,Semi Ojeleye,SMU,5,278,4035,944,599,122,0.383,0.344,0.706,14.5,3.4,2.2,0.4,5,0.059,-3.5,-1.5
38,38,CHI,Jordan Bell,Oregon,5,161,1937,593,497,201,0.552,0.2,0.636,12,3.7,3.1,1.2,4.9,0.121,0.2,1.1
39,39,PHI,Jawun Evans,Oklahoma State,2,56,843,237,96,110,0.345,0.263,0.776,15.1,4.2,1.7,2,-0.4,-0.022,-5.4,-0.7
40,40,NOP,Dwayne Bacon,Florida State,4,207,4012,1503,537,230,0.402,0.314,0.78,19.4,7.3,2.6,1.1,0.8,0.01,-5.1,-3.1
41,41,ATL,Tyler Dorsey,Oregon,2,104,1672,701,243,135,0.389,0.35,0.669,16.1,6.7,2.3,1.3,1,0.03,-3.1,-0.5
42,42,UTA,Thomas Bryant,Indiana,5,162,3316,1687,939,214,0.59,0.353,0.757,20.5,10.4,5.8,1.3,11.3,0.164,1.6,3
43,43,HOU,Isaiah Hartenstein,,4,148,1888,785,549,187,0.596,0.286,0.652,12.8,5.3,3.7,1.3,6.6,0.167,1,1.4
44,44,NYK,Damyean Dotson,Oregon,5,213,4242,1594,532,315,0.417,0.345,0.711,19.9,7.5,2.5,1.5,3,0.034,-2.8,-0.9
45,45,HOU,Dillon Brooks,Oregon,5,261,7376,3752,796,515,0.42,0.351,0.8,28.3,14.4,3,2,4.8,0.031,-3.8,-3.4
46,46,PHI,Sterling Brown,SMU,5,254,4333,1412,862,262,0.424,0.37,0.791,17.1,5.6,3.4,1,6.6,0.073,-2,0
47,47,IND,Ike Anigbogu,UCLA,2,14,36,13,12,1,0.333,,0.833,2.6,0.9,0.9,0.1,0,0.057,-1.1,0
48,48,MIL,Sindarius Thornwell,South Carolina,4,160,1721,401,206,111,0.407,0.34,0.672,10.8,2.5,1.3,0.7,1.1,0.032,-3.1,-0.5
49,49,DEN,Vlatko Čančar,,3,69,478,162,83,30,0.484,0.333,0.793,6.9,2.3,1.2,0.4,0.8,0.078,-2.2,0
50,50,PHI,Mathias Lessort,,,,,,,,,,,,,,,,,,
51,51,DEN,Monte Morris,Iowa State,5,261,6499,2713,590,945,0.479,0.39,0.825,24.9,10.4,2.3,3.6,17,0.126,0.3,3.8
52,52,NOP,Edmond Sumner,Xavier,4,108,1520,619,165,114,0.474,0.333,0.728,14.1,5.7,1.5,1.1,1.9,0.061,-3.2,-0.4
53,53,BOS,Kadeem Allen,Arizona,3,47,640,258,71,109,0.435,0.349,0.757,13.6,5.5,1.5,2.3,1,0.075,-1.2,0.1
54,54,PHO,Alec Peters,Valparaiso,1,20,225,82,37,12,0.378,0.31,0.8,11.3,4.1,1.9,0.6,0.3,0.055,-2.8,0
55,55,UTA,Nigel Williams-Goss,Gonzaga,1,10,50,14,6,6,0.313,0.286,1,5,1.4,0.6,0.6,0,0.017,-3.9,0
56,56,BOS,Jabari Bird,California,1,13,115,39,19,8,0.577,0.429,0.462,8.8,3,1.5,0.6,0.2,0.098,-3.1,0
57,57,BRK,Sasha Vezenkov,,,,,,,,,,,,,,,,,,
58,58,NYK,Ognjen Jaramaz,,,,,,,,,,,,,,,,,,
59,59,SAS,Jaron Blossomgame,Clemson,1,27,439,114,98,13,0.443,0.256,0.769,16.3,4.2,3.6,0.5,0.3,0.03,-3.8,-0.2
60,60,ATL,Alpha Kaba,,,,,,,,,,,,,,,,,,
