,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
41,41,SAS,Joe Wieskamp,Iowa,1,17,95,37,8,5,0.448,0.4,0.429,5.6,2.2,0.5,0.3,0.2,0.097,-0.2,0
42,42,DET,Isaiah Livers,Michigan,1,4,33,8,3,3,0.231,0.222,,8.3,2,0.8,0.8,-0.1,-0.091,-8.3,-0.1
43,43,NOP,Greg Brown III,Texas,1,31,286,113,68,10,0.438,0.192,0.649,9.2,3.6,2.2,0.3,0.3,0.057,-3.3,-0.1
44,44,BRK,Kessler Edwards,Pepperdine,1,32,748,201,130,22,0.398,0.347,0.833,23.4,6.3,4.1,0.7,0.2,0.014,-4.7,-0.5
45,45,BOS,Juhann Begarin,,,,,,,,,,,,,,,,,,
46,46,TOR,Dalano Banton,Nebraska,1,52,602,182,107,81,0.409,0.255,0.629,11.6,3.5,2.1,1.6,0.1,0.012,-3.7,-0.3
47,47,TOR,David Johnson,Louisville,1,2,2,0,0,0,0,0,,1,0,0,0,0,-0.506,-27.6,0
48,48,ATL,Sharife Cooper,Auburn,1,11,35,7,5,5,0.214,0.167,,3.2,0.6,0.5,0.5,-0.2,-0.332,-17.2,-0.1
49,49,BRK,Marcus Zegarowski,Creighton,,,,,,,,,,,,,,,,,
50,50,PHI,Filip Petrušev,Gonzaga,,,,,,,,,,,,,,,,,
51,51,MEM,Brandon Boston Jr.,Kentucky,1,44,647,290,100,38,0.373,0.306,0.852,14.7,6.6,2.3,0.9,0.3,0.024,-3.4,-0.2
52,52,DET,Luka Garza,Iowa,1,29,340,151,87,16,0.444,0.341,0.643,11.7,5.2,3,0.6,0.5,0.076,-3.3,-0.1
53,53,PHI,Charles Bassey,Western Kentucky,1,23,168,69,62,7,0.638,0,0.75,7.3,3,2.7,0.3,0.8,0.227,1.9,0.2
54,54,IND,Sandro Mamukelashvili,Seton Hall,1,34,315,102,60,16,0.459,0.385,0.75,9.3,3,1.8,0.5,0.7,0.111,-0.8,0.1
55,55,OKC,Aaron Wiggins,Maryland,1,37,824,260,127,38,0.467,0.301,0.706,22.3,7,3.4,1,1.2,0.07,-3.2,-0.2
56,56,CHO,Scottie Lewis,Florida,1,2,7,1,0,1,,,0.5,3.5,0.5,0,0.5,0,0.165,6.2,0
57,57,CHO,Balša Koprivica,Florida State,,,,,,,,,,,,,,,,,
58,58,NYK,Jericho Sims,Texas,1,21,166,21,47,4,0.692,,0.75,7.9,1,2.2,0.2,0.5,0.155,-0.6,0.1
59,59,BRK,RaiQuan Gray,Florida State,,,,,,,,,,,,,,,,,
60,60,IND,Georgios Kalaitzakis,,1,9,48,16,8,0,0.455,0.5,0.444,5.3,1.8,0.9,0,0,-0.005,-7.9,-0.1
