,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,DET,Cade Cunningham,Oklahoma State,1,49,1561,795,280,252,0.4,0.32,0.839,31.9,16.2,5.7,5.1,-0.6,-0.018,-2,0
2,2,HOU,Jalen Green,,1,47,1456,707,148,110,0.396,0.312,0.811,31,15,3.1,2.3,-0.6,-0.021,-4.3,-0.8
3,3,CLE,Evan Mobley,USC,1,54,1839,793,437,139,0.499,0.257,0.68,34.1,14.7,8.1,2.6,4.3,0.112,0.6,1.2
4,4,TOR,Scottie Barnes,Florida State,1,54,1904,807,410,175,0.49,0.314,0.741,35.3,14.9,7.6,3.2,4.5,0.112,0.4,1.1
5,5,ORL,Jalen Suggs,Gonzaga,1,42,1175,523,154,185,0.369,0.227,0.758,28,12.5,3.7,4.4,-1.3,-0.054,-5.4,-1
6,6,OKC,Josh Giddey,,1,54,1700,674,421,345,0.419,0.263,0.709,31.5,12.5,7.8,6.4,0.9,0.024,-0.9,0.5
7,7,GSW,Jonathan Kuminga,,1,51,765,421,149,37,0.503,0.327,0.683,15,8.3,2.9,0.7,1.8,0.11,-2.4,-0.1
8,8,ORL,Franz Wagner,Michigan,1,63,2011,991,291,185,0.468,0.366,0.852,31.9,15.7,4.6,2.9,3.3,0.08,-0.8,0.6
9,9,SAC,Davion Mitchell,Baylor,1,58,1485,583,129,193,0.403,0.311,0.587,25.6,10.1,2.2,3.3,-0.1,-0.002,-4,-0.7
10,10,NOP,Ziaire Williams,Stanford,1,44,958,326,84,38,0.444,0.288,0.793,21.8,7.4,1.9,0.9,1.2,0.061,-4,-0.5
11,11,CHO,James Bouknight,UConn,1,28,296,140,48,23,0.353,0.347,0.871,10.6,5,1.7,0.8,0.1,0.016,-6.7,-0.4
12,12,SAS,Joshua Primo,Alabama,1,33,522,160,59,46,0.369,0.333,0.75,15.8,4.8,1.8,1.4,0.1,0.012,-4.2,-0.3
13,13,IND,Chris Duarte,Oregon,1,52,1474,689,213,112,0.434,0.365,0.796,28.3,13.3,4.1,2.2,1.3,0.041,-2,0
14,14,GSW,Moses Moody,Arkansas,1,38,382,139,54,14,0.407,0.338,0.783,10.1,3.7,1.4,0.4,0.7,0.089,-3.5,-0.1
15,15,WAS,Corey Kispert,Gonzaga,1,56,1153,385,148,59,0.429,0.321,0.87,20.6,6.9,2.6,1.1,1.3,0.055,-2.6,-0.2
16,16,OKC,Alperen Şengün,,1,54,1012,476,262,131,0.472,0.263,0.705,18.7,8.8,4.9,2.4,1.3,0.062,-0.7,0.3
17,17,MEM,Trey Murphy III,Virginia,1,44,527,166,89,22,0.342,0.349,0.857,12,3.8,2,0.5,0.7,0.063,-2.8,-0.1
18,18,OKC,Tre Mann,Florida,1,49,1029,447,118,62,0.39,0.354,0.742,21,9.1,2.4,1.3,0.4,0.018,-4.2,-0.6
19,19,NYK,Kai Jones,Texas,1,19,58,20,10,4,0.615,0.5,0.375,3.1,1.1,0.5,0.2,0,-0.013,-8.4,-0.1
20,20,ATL,Jalen Johnson,Duke,1,15,67,29,17,1,0.5,0.375,0.667,4.5,1.9,1.1,0.1,0,0.015,-4.3,0
21,21,NYK,Keon Johnson,Tennessee,1,18,198,61,29,16,0.278,0.188,0.783,11,3.4,1.6,0.9,-0.2,-0.059,-8.2,-0.3
22,22,LAL,Isaiah Jackson,Kentucky,1,24,277,165,76,7,0.602,0.333,0.653,11.5,6.9,3.2,0.3,1,0.168,0,0.1
23,23,HOU,Usman Garuba,,1,15,105,19,34,8,0.333,0.154,0.5,7,1.3,2.3,0.5,0.1,0.053,-0.5,0
24,24,HOU,Josh Christopher,Arizona State,1,54,892,378,120,98,0.435,0.305,0.779,16.5,7,2.2,1.8,0.1,0.007,-3.5,-0.3
25,25,LAC,Quentin Grimes,Houston,1,40,696,253,77,38,0.421,0.398,0.647,17.4,6.3,1.9,1,1.3,0.089,-0.1,0.3
26,26,DEN,Bones Hyland,VCU,1,50,886,438,133,103,0.374,0.355,0.877,17.7,8.8,2.7,2.1,0.7,0.04,-2.6,-0.1
27,27,BRK,Cam Thomas,LSU,1,53,1043,520,137,73,0.436,0.272,0.831,19.7,9.8,2.6,1.4,0.7,0.034,-3.2,-0.3
28,28,PHI,Jaden Springer,Tennessee,1,2,6,2,2,0,1,,,3,1,1,0,0,0.143,17.1,0
29,29,PHO,Day'Ron Sharpe,UNC,1,32,391,198,160,17,0.577,0.286,0.585,12.2,6.2,5,0.5,1.2,0.152,-2.9,-0.1
30,30,UTA,Santi Aldama,Loyola (MD),1,27,277,90,64,14,0.381,0.103,0.6,10.3,3.3,2.4,0.5,0.1,0.025,-6.7,-0.3
31,31,MIL,Isaiah Todd,,1,10,41,16,10,3,0.294,0.364,0.333,4.1,1.6,1,0.3,0,0.003,-0.1,0
32,32,NYK,Jeremiah Robinson-Earl,Villanova,1,44,1014,314,254,44,0.401,0.333,0.714,23,7.1,5.8,1,1.4,0.066,-2.5,-0.1
33,33,ORL,Jason Preston,Ohio University,,,,,,,,,,,,,,,,,
34,34,OKC,Rokas Jokubaitis,,,,,,,,,,,,,,,,,,
35,35,NOP,Herbert Jones,Alabama,1,59,1772,563,235,122,0.487,0.351,0.863,30,9.5,4,2.1,3.7,0.1,-0.4,0.7
36,36,OKC,Miles McBride,West Virginia,1,23,155,41,17,24,0.267,0.182,0.75,6.7,1.8,0.7,1,-0.1,-0.02,-5.4,-0.1
37,37,DET,JT Thor,Auburn,1,23,230,63,36,18,0.442,0.269,0.714,10,2.7,1.6,0.8,0.4,0.081,-2.2,0
38,38,CHI,Ayo Dosunmu,Illinois,1,58,1526,485,163,181,0.527,0.41,0.677,26.3,8.4,2.8,3.1,2.7,0.085,-1.5,0.2
39,39,SAC,Neemias Queta,Utah State University,1,10,56,21,19,4,0.391,,0.6,5.6,2.1,1.9,0.4,0,0.009,-6.5,-0.1
40,40,NOP,Jared Butler,Baylor,1,28,213,96,23,34,0.409,0.362,0.583,7.6,3.4,0.8,1.2,0.2,0.037,-1.9,0
