,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,POR,Greg Oden,Ohio State,3,105,2028,840,656,51,0.574,,0.658,19.3,8,6.2,0.5,7.3,0.174,-0.4,0.8
2,2,SEA,Kevin Durant,Texas,14,921,33811,24967,6510,3892,0.495,0.383,0.883,36.7,27.1,7.1,4.2,152.2,0.216,6.8,74.8
3,3,ATL,Al Horford,Florida,15,936,30176,12850,7662,3098,0.514,0.358,0.759,32.2,13.7,8.2,3.3,98.3,0.156,2.8,36.9
4,4,MEM,Mike Conley,Ohio State,15,941,30123,13997,2827,5314,0.439,0.381,0.821,32,14.9,3,5.6,85.5,0.136,2.5,34.2
5,5,BOS,Jeff Green,Georgetown,14,1034,30025,13118,4450,1601,0.447,0.339,0.805,29,12.7,4.3,1.5,49.3,0.079,-1.4,4.8
6,6,MIL,Yi Jianlian,,5,272,6038,2148,1339,192,0.404,0.333,0.78,22.2,7.9,4.9,0.7,3.1,0.025,-4.3,-3.5
7,7,MIN,Corey Brewer,Florida,13,819,18771,7097,2287,1250,0.425,0.284,0.713,22.9,8.7,2.8,1.5,22.5,0.058,-1.6,2
8,8,CHA,Brandan Wright,UNC,10,428,6949,2976,1560,199,0.607,0,0.674,16.2,7,3.6,0.5,26.2,0.181,2.3,7.5
9,9,CHI,Joakim Noah,Florida,13,672,18646,5881,6058,1907,0.491,0,0.7,27.7,8.8,9,2.8,61.9,0.159,2.5,20.9
10,10,SAC,Spencer Hawes,Washington,10,684,15541,5932,3893,1271,0.457,0.35,0.716,22.7,8.7,5.7,1.9,22.6,0.07,-1.1,3.4
11,11,ATL,Acie Law,Texas A&M,4,188,2385,725,195,309,0.413,0.235,0.778,12.7,3.9,1,1.6,1.6,0.032,-3.9,-1.1
12,12,PHI,Thaddeus Young,Georgia Tech,15,1065,31417,13735,6252,1968,0.502,0.332,0.663,29.5,12.9,5.9,1.8,67.9,0.104,0.5,19.6
13,13,NOK,Julian Wright,Kansas,4,231,3049,907,531,182,0.499,0.262,0.584,13.2,3.9,2.3,0.8,3.9,0.061,-0.5,1.2
14,14,LAC,Al Thornton,Florida State,4,296,8274,3527,1233,353,0.452,0.293,0.747,28,11.9,4.2,1.2,6.1,0.035,-3.5,-3.2
15,15,DET,Rodney Stuckey,Eastern Washington,10,651,17890,8185,1912,2333,0.423,0.3,0.824,27.5,12.6,2.9,3.6,28.7,0.077,-0.9,4.9
16,16,WAS,Nick Young,USC,12,720,16419,8194,1427,687,0.418,0.376,0.836,22.8,11.4,2,1,18.6,0.054,-2.2,-0.8
17,17,NJN,Sean Williams,Boston College,4,137,1978,581,472,47,0.511,0,0.624,14.4,4.2,3.4,0.3,3,0.073,-3.1,-0.6
18,18,GSW,Marco Belinelli,,13,860,19548,8370,1769,1429,0.424,0.376,0.846,22.7,9.7,2.1,1.7,30.5,0.075,-1.3,3.3
19,19,LAL,Javaris Crittenton,Georgia Tech,2,113,1853,595,276,201,0.442,0.231,0.638,16.4,5.3,2.4,1.8,0.1,0.002,-4.2,-1
20,20,MIA,Jason Smith,Colorado State,11,616,10029,3777,2075,453,0.468,0.333,0.783,16.3,6.1,3.4,0.7,14.1,0.067,-2.9,-2.4
21,21,PHI,Daequan Cook,Ohio State,6,328,5993,2114,703,243,0.369,0.359,0.813,18.3,6.4,2.1,0.7,4.9,0.039,-2.7,-1.1
22,22,CHA,Jared Dudley,Boston College,14,904,20117,6633,2849,1394,0.463,0.393,0.732,22.3,7.3,3.2,1.5,43,0.103,0.2,11
23,23,NYK,Wilson Chandler,DePaul,12,676,20287,8463,3574,1205,0.443,0.341,0.77,30,12.5,5.3,1.8,29,0.069,-1.3,3.5
24,24,PHO,Rudy Fernández,,4,249,5965,2254,608,554,0.399,0.36,0.84,24,9.1,2.4,2.2,14.2,0.114,1.7,5.6
25,25,UTA,Morris Almond,Rice University,3,38,361,119,46,12,0.381,0.292,0.743,9.5,3.1,1.2,0.3,0,0.005,-6.1,-0.4
26,26,HOU,Aaron Brooks,Oregon,10,645,13439,6259,1079,1925,0.413,0.37,0.837,20.8,9.7,1.7,3,19.2,0.069,-1.2,2.7
27,27,DET,Arron Afflalo,UCLA,11,762,20829,8198,2176,1386,0.45,0.386,0.825,27.3,10.8,2.9,1.8,33.5,0.077,-1.5,2.4
28,28,SAS,Tiago Splitter,,7,355,6812,2816,1779,423,0.555,0.143,0.697,19.2,7.9,5,1.2,25.3,0.178,1.1,5.4
29,29,PHO,Alando Tucker,Wisconsin,3,51,426,211,49,16,0.423,0.294,0.783,8.4,4.1,1,0.3,0.4,0.045,-4.5,-0.3
30,30,PHI,Petteri Koponen,,,,,,,,,,,,,,,,,,
31,31,SEA,Carl Landry,Purdue,9,513,11524,5541,2533,355,0.535,0.3,0.785,22.5,10.8,4.9,0.7,35.9,0.149,-0.3,5
32,32,BOS,Gabe Pruitt,USC,2,62,461,125,51,52,0.321,0.283,0.783,7.4,2,0.8,0.8,0.4,0.043,-2.8,-0.1
33,33,SAS,Marcus Williams,Arizona,2,13,39,14,12,3,0.318,,,3,1.1,0.9,0.2,-0.1,-0.084,-5.4,0
34,34,DAL,Nick Fazekas,Nevada,1,26,269,107,89,11,0.561,0,0.682,10.3,4.1,3.4,0.4,0.8,0.148,0.5,0.2
