,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHO,Deandre Ayton,Arizona,4,219,6731,3522,2300,354,0.598,0.229,0.749,30.7,16.1,10.5,1.6,22.6,0.161,1.1,5.3
2,2,SAC,Marvin Bagley III,Duke,4,152,3759,2040,1123,133,0.495,0.296,0.666,24.7,13.4,7.4,0.9,6.5,0.083,-2.3,-0.3
3,3,ATL,Luka Dončić,,4,247,8336,6450,2103,1956,0.456,0.332,0.736,33.7,26.1,8.5,7.9,26.5,0.153,6.5,17.9
4,4,MEM,Jaren Jackson Jr.,Michigan State,4,189,5150,2987,977,221,0.457,0.352,0.778,27.2,15.8,5.2,1.2,11.7,0.109,0,2.5
5,5,DAL,Trae Young,Oklahoma,4,261,8721,6521,1019,2340,0.438,0.353,0.868,33.4,25,3.9,9,23.3,0.128,2.8,10.5
6,6,ORL,Mo Bamba,Texas,4,207,3731,1519,1216,180,0.472,0.332,0.684,18,7.3,5.9,0.9,8.9,0.114,-0.1,1.8
7,7,CHI,Wendell Carter Jr.,Duke,4,195,5342,2318,1717,380,0.51,0.292,0.736,27.4,11.9,8.8,1.9,12.8,0.115,-0.9,1.5
8,8,CLE,Collin Sexton,Alabama,4,218,7179,4356,663,720,0.458,0.378,0.827,32.9,20,3,3.3,5.5,0.037,-2.5,-0.9
9,9,NYK,Kevin Knox,Kentucky,4,205,3968,1611,615,170,0.368,0.341,0.702,19.4,7.9,3,0.8,-0.5,-0.006,-4.7,-2.7
10,10,PHI,Mikal Bridges,Villanova,4,289,8963,3151,1132,591,0.507,0.372,0.832,31,10.9,3.9,2,22.6,0.121,1,6.8
11,11,CHO,Shai Gilgeous-Alexander,Kentucky,4,234,7411,4160,1037,970,0.47,0.347,0.805,31.7,17.8,4.4,4.1,16.6,0.108,1.7,6.9
12,12,LAC,Miles Bridges,Michigan State,4,273,7866,3512,1530,582,0.468,0.34,0.809,28.8,12.9,5.6,2.1,14.1,0.086,-0.4,3.1
13,13,LAC,Jerome Robinson,Boston College,3,113,1604,514,208,131,0.363,0.31,0.721,14.2,4.5,1.8,1.2,-0.1,-0.003,-4.7,-1.1
14,14,DEN,Michael Porter Jr.,Missouri,3,125,3080,1763,763,133,0.518,0.419,0.795,24.6,14.1,6.1,1.1,9.6,0.15,2.1,3.1
15,15,WAS,Troy Brown Jr.,Oregon,4,207,3956,1362,809,342,0.428,0.333,0.754,19.1,6.6,3.9,1.7,4.7,0.057,-2.1,-0.1
16,16,PHO,Zhaire Smith,Texas Tech,2,13,143,48,15,12,0.378,0.316,0.667,11,3.7,1.2,0.9,0,0.011,-6.1,-0.1
17,17,MIL,Donte DiVincenzo,Villanova,4,184,4277,1620,856,444,0.42,0.34,0.752,23.2,8.8,4.7,2.4,8.7,0.098,-0.1,2.1
18,18,SAS,Lonnie Walker IV,Miami (FL),4,196,3973,1805,461,307,0.416,0.344,0.779,20.3,9.2,2.4,1.6,1.7,0.02,-3.3,-1.4
19,19,ATL,Kevin Huerter,Maryland,4,255,7542,2874,880,820,0.43,0.375,0.785,29.6,11.3,3.5,3.2,8.5,0.054,-1.4,1.2
20,20,MIN,Josh Okogie,Georgia Tech,4,229,4913,1506,704,272,0.4,0.273,0.756,21.5,6.6,3.1,1.2,4.9,0.048,-3,-1.2
21,21,UTA,Grayson Allen,Duke,4,178,3828,1664,443,262,0.426,0.386,0.835,21.5,9.3,2.5,1.5,7.2,0.09,-0.9,1.1
22,22,CHI,Chandler Hutchison,Boise State,4,103,1790,558,376,79,0.442,0.309,0.643,17.4,5.4,3.7,0.8,1.1,0.03,-3.9,-0.9
23,23,IND,Aaron Holiday,UCLA,4,229,4216,1695,391,538,0.415,0.372,0.827,18.4,7.4,1.7,2.3,4.2,0.048,-2.4,-0.5
24,24,POR,Anfernee Simons,,4,210,4335,2106,453,417,0.424,0.39,0.828,20.6,10,2.2,2,4.3,0.048,-2.2,-0.2
25,25,LAL,Moritz Wagner,Michigan,4,178,2567,1252,560,179,0.486,0.32,0.812,14.4,7,3.1,1,4.8,0.09,-1.9,0.1
26,26,PHI,Landry Shamet,Wichita State,4,242,5619,2144,441,390,0.407,0.388,0.84,23.2,8.9,1.8,1.6,9.7,0.083,-1.9,0.1
27,27,BOS,Robert Williams,Texas A&M,4,165,3218,1167,1078,234,0.723,0,0.662,19.5,7.1,6.5,1.4,16.8,0.251,5,5.7
28,28,GSW,Jacob Evans,Cincinnati,2,59,622,168,66,54,0.337,0.315,0.833,10.5,2.8,1.1,0.9,-0.6,-0.047,-7.4,-0.8
29,29,BRK,Džanan Musa,,2,49,526,211,91,45,0.376,0.227,0.726,10.7,4.3,1.9,0.9,0,0.003,-4.6,-0.4
30,30,ATL,Omari Spellman,Villanova,2,95,1691,642,413,94,0.417,0.366,0.766,17.8,6.8,4.3,1,2.4,0.068,-1.5,0.2
31,31,PHO,Elie Okobo,,2,108,1677,523,188,242,0.395,0.315,0.737,15.5,4.8,1.7,2.2,0.5,0.014,-4.1,-0.9
32,32,MEM,Jevon Carter,West Virginia,4,206,2841,885,348,273,0.373,0.37,0.8,13.8,4.3,1.7,1.3,3.3,0.057,-1.4,0.4
33,33,DAL,Jalen Brunson,Villanova,4,260,6301,2996,765,986,0.494,0.376,0.786,24.2,11.5,2.9,3.8,15.8,0.12,0,3.3
34,34,ATL,Devonte' Graham,Kansas,4,222,6302,2917,568,1138,0.371,0.358,0.826,28.4,13.1,2.6,5.1,9.3,0.071,-0.4,2.5
35,35,ORL,Melvin Frazier,Tulane,2,29,170,55,15,4,0.4,0.364,0.375,5.9,1.9,0.5,0.1,0,0.008,-5.4,-0.2
36,36,NYK,Mitchell Robinson,,4,214,5040,1793,1586,114,0.72,,0.551,23.6,8.4,7.4,0.5,22.5,0.214,2.1,5.2
37,37,SAC,Gary Trent Jr.,Duke,4,187,5087,2431,402,256,0.417,0.39,0.801,27.2,13,2.1,1.4,8.1,0.076,-1,1.2
38,38,PHI,Khyri Thomas,Creighton,3,39,409,160,39,36,0.388,0.316,0.75,10.5,4.1,1,0.9,0.5,0.058,-2.7,-0.1
39,39,PHI,Isaac Bonga,,4,141,1868,438,320,117,0.432,0.3,0.763,13.2,3.1,2.3,0.8,1.7,0.043,-3.6,-0.8
40,40,BRK,Rodions Kurucs,,3,131,2103,780,406,113,0.444,0.329,0.739,16.1,6,3.1,0.9,2.3,0.052,-2.8,-0.4
41,41,ORL,Jarred Vanderbilt,Kentucky,4,150,2755,786,914,160,0.595,0.158,0.6,18.4,5.2,6.1,1.1,8.1,0.142,0.1,1.4
42,42,DET,Bruce Brown,Miami (FL),4,252,5753,1806,1054,504,0.474,0.314,0.741,22.8,7.2,4.2,2,10.6,0.088,-1.4,0.9
43,43,DEN,Justin Jackson,Maryland,,,,,,,,,,,,,,,,,
44,44,WAS,Issuf Sanon,,,,,,,,,,,,,,,,,,
45,45,BRK,Hamidou Diallo,Kentucky,4,205,3890,1733,806,223,0.474,0.278,0.635,19,8.5,3.9,1.1,4.8,0.059,-2.4,-0.4
46,46,HOU,De'Anthony Melton,USC,4,217,4439,1723,769,612,0.403,0.347,0.762,20.5,7.9,3.5,2.8,6.5,0.07,0.3,2.5
47,47,LAL,Svi Mykhailiuk,Kansas,4,211,3701,1437,394,295,0.4,0.354,0.782,17.5,6.8,1.9,1.4,2.6,0.034,-2.6,-0.6
48,48,MIN,Keita Bates-Diop,Ohio State,4,153,2299,787,452,92,0.456,0.315,0.698,15,5.1,3,0.6,3.3,0.068,-2.2,-0.1
49,49,SAS,Chimezie Metu,USC,4,127,1678,712,430,99,0.454,0.286,0.755,13.2,5.6,3.4,0.8,1.6,0.046,-2.5,-0.2
50,50,IND,Alize Johnson,Missouri State,4,69,513,173,206,30,0.493,0.25,0.718,7.4,2.5,3,0.4,1.3,0.123,-1.8,0
51,51,NOP,Tony Carr,Penn State,,,,,,,,,,,,,,,,,
52,52,UTA,Vince Edwards,Purdue,1,2,16,3,2,0,0.25,0.25,,8,1.5,1,0,0,-0.014,-6.4,0
53,53,OKC,Devon Hall,Virginia,1,11,81,20,7,13,0.2,0.235,0.5,7.4,1.8,0.6,1.2,-0.2,-0.116,-6.7,-0.1
54,54,DAL,Shake Milton,SMU,4,157,3326,1601,373,406,0.446,0.357,0.826,21.2,10.2,2.4,2.6,6.1,0.088,-1.8,0.2
55,55,CHO,Arnoldas Kulboka,,1,1,3,0,0,0,,,,3,0,0,0,0,-0.014,-10.4,0
56,56,PHI,Ray Spalding,Louisville,2,16,167,58,52,5,0.529,0,0.286,10.4,3.6,3.3,0.3,0.1,0.024,-6.2,-0.2
57,57,OKC,Kevin Hervey,UT Arlington,1,10,52,17,12,5,0.259,0.15,,5.2,1.7,1.2,0.5,-0.1,-0.085,-5.1,0
58,58,DEN,Thomas Welsh,UCLA,1,11,36,18,4,5,0.538,0.429,0.5,3.3,1.6,0.4,0.5,0.1,0.162,1.2,0
59,59,PHO,George King,Colorado,2,5,25,1,6,0,0,0,0.5,5,0.2,1.2,0,-0.1,-0.224,-17,-0.1
60,60,PHI,Kostas Antetokounmpo,Dayton,3,22,87,21,23,3,0.375,,0.474,4,1,1,0.1,-0.2,-0.098,-9.9,-0.2
