,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,LAC,Blake Griffin,Oklahoma,12,719,23765,14321,5941,2987,0.493,0.326,0.696,33.1,19.9,8.3,4.2,79.1,0.16,3.4,32.4
2,2,MEM,Hasheem Thabeet,UConn,5,224,2357,483,595,27,0.567,,0.578,10.5,2.2,2.7,0.1,4.8,0.099,-2.7,-0.4
3,3,OKC,James Harden,Arizona State,13,924,31935,23117,5172,6214,0.443,0.362,0.859,34.6,25,5.6,6.7,147.5,0.222,6.8,71.2
4,4,SAC,Tyreke Evans,Memphis,10,594,18242,9347,2720,2852,0.44,0.323,0.757,30.7,15.7,4.6,4.8,28.4,0.075,0.8,13.1
5,5,MIN,Ricky Rubio,,11,665,20128,7399,2760,5045,0.389,0.326,0.843,30.3,11.1,4.2,7.6,41.9,0.1,0.6,13.4
6,6,MIN,Jonny Flynn,Syracuse,3,163,3738,1504,307,634,0.4,0.338,0.809,22.9,9.2,1.9,3.9,-1.1,-0.015,-4,-1.9
7,7,GSW,Stephen Curry,Davidson,13,820,28170,19927,3808,5363,0.473,0.428,0.908,34.4,24.3,4.6,6.5,120,0.204,6.5,60.7
8,8,NYK,Jordan Hill,Arizona,8,409,7692,3232,2389,322,0.497,0.136,0.699,18.8,7.9,5.8,0.8,16.4,0.102,-2,0
9,9,TOR,DeMar DeRozan,USC,13,940,32157,19406,4149,3655,0.465,0.287,0.836,34.2,20.6,4.4,3.9,82.9,0.124,0.8,22.3
10,10,MIL,Brandon Jennings,,9,555,16844,7801,1659,3151,0.387,0.345,0.796,30.3,14.1,3,5.7,29.9,0.085,0.8,11.8
11,11,NJN,Terrence Williams,Louisville,4,153,2922,1085,545,364,0.412,0.317,0.659,19.1,7.1,3.6,2.4,-0.2,-0.004,-2.8,-0.6
12,12,CHA,Gerald Henderson,Duke,8,535,13854,5987,1716,1009,0.44,0.327,0.793,25.9,11.2,3.2,1.9,18.3,0.063,-1.8,0.6
13,13,IND,Tyler Hansbrough,UNC,7,428,7233,2881,1808,181,0.439,0.136,0.738,16.9,6.7,4.2,0.4,20.2,0.134,-2,0
14,14,PHO,Earl Clark,Louisville,6,261,3630,1138,778,134,0.403,0.328,0.664,13.9,4.4,3,0.5,2.9,0.038,-2.8,-0.8
15,15,DET,Austin Daye,Gonzaga,6,293,4132,1522,764,212,0.402,0.351,0.778,14.1,5.2,2.6,0.7,4.5,0.053,-2,0
16,16,CHI,James Johnson,Wake Forest,13,733,15078,5718,2630,1553,0.474,0.302,0.679,20.6,7.8,3.6,2.1,27,0.086,0.5,9.4
17,17,PHI,Jrue Holiday,UCLA,13,822,27265,13277,3293,5251,0.46,0.362,0.777,33.2,16.2,4,6.4,55,0.097,1.5,23.9
18,18,MIN,Ty Lawson,UNC,8,551,16088,6977,1506,3316,0.46,0.359,0.77,29.2,12.7,2.7,6,42.1,0.126,1.4,13.6
19,19,ATL,Jeff Teague,Wake Forest,12,826,22164,10061,1989,4585,0.444,0.36,0.844,26.8,12.2,2.4,5.6,52.4,0.113,0.6,14.3
20,20,UTA,Eric Maynor,VCU,5,267,3896,1141,348,760,0.392,0.35,0.721,14.6,4.3,1.3,2.8,3.3,0.041,-2.9,-0.8
21,21,NOH,Darren Collison,UCLA,11,711,20833,8861,1889,3545,0.471,0.394,0.853,29.3,12.5,2.7,5,49.9,0.115,0.5,13.4
22,22,POR,Victor Claver,,3,80,1072,258,178,56,0.398,0.293,0.585,13.4,3.2,2.2,0.7,0.2,0.011,-3.6,-0.4
23,23,SAC,Omri Casspi,,10,588,11959,4642,2355,662,0.454,0.368,0.678,20.3,7.9,4,1.1,19.6,0.078,-0.8,3.5
24,24,DAL,Byron Mullens,Ohio State,5,189,3446,1398,790,153,0.408,0.319,0.706,18.2,7.4,4.2,0.8,0.6,0.008,-4,-1.8
25,25,OKC,Rodrigue Beaubois,,4,182,2896,1286,338,374,0.439,0.325,0.81,15.9,7.1,1.9,2.1,4.8,0.079,-0.1,1.4
26,26,CHI,Taj Gibson,USC,13,884,21756,8017,5426,874,0.518,0.239,0.711,24.6,9.1,6.1,1,58,0.128,-0.7,7
27,27,MEM,DeMarre Carroll,Missouri,11,578,13675,5150,2454,726,0.43,0.358,0.741,23.7,8.9,4.2,1.3,29.5,0.104,0,6.7
28,28,MIN,Wayne Ellington,UNC,13,764,15980,6139,1629,846,0.41,0.382,0.843,20.9,8,2.1,1.1,21,0.063,-1.5,2.1
29,29,LAL,Toney Douglas,Florida State,8,394,7511,3009,875,889,0.404,0.354,0.824,19.1,7.6,2.2,2.3,12.1,0.077,-0.8,2.2
